rank,rank_last_week,weeks_on_list,asterisk,dagger,primary_isbn10,primary_isbn13,publisher,description,price,title,author,contributor,contributor_note,book_image,book_image_width,book_image_height,amazon_product_url,age_group,book_review_link,first_chapter_link,sunday_review_link,article_chapter_link,isbns,buy_links,book_uri,published_date
1,1,5,0,0,0593230574,9780593230572,One World,"Viewing America’s entanglement with slavery and its legacy, in essays adapted and expanded from The New York Times Magazine.",0.00,THE 1619 PROJECT,"edited  Nikole Hannah-Jones, Caitlin Roper, Ilena Silverman and Jake Silverstein","edited by Nikole Hannah-Jones, Caitlin Roper, Ilena Silverman and Jake Silverstein","edited by Nikole Hannah-Jones, Caitlin Roper, Ilena Silverman and Jake Silverstein",https://storage.googleapis.com/du-prd/books/images/9780593230572.jpg,331,500,https://www.amazon.com/dp/0593230574?tag=NYTBSREV-20,,,,,,"[{'isbn10': '0593230574', 'isbn13': '9780593230572'}, {'isbn10': '0593230582', 'isbn13': '9780593230589'}, {'isbn10': '0593452283', 'isbn13': '9780593452288'}]","[{'name': 'Amazon', 'url': 'https://www.amazon.com/dp/0593230574?tag=NYTBSREV-20'}, {'name': 'Apple Books', 'url': 'https://goto.applebooks.apple/9780593230572?at=10lIEQ'}, {'name': 'Barnes and Noble', 'url': 'https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9780593230572'}, {'name': 'Books-A-Million', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fp%252FTHE%252B1619%252BPROJECT%252Fedited%252B%252BNikole%252BHannah-Jones%25252C%252BCaitlin%252BRoper%25252C%252BIlena%252BSilverman%252Band%252BJake%252BSilverstein%252F9780593230572&url2=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fsearch%253Fquery%253DTHE%252B1619%252BPROJECT%252Bedited%252B%252BNikole%252BHannah-Jones%25252C%252BCaitlin%252BRoper%25252C%252BIlena%252BSilverman%252Band%252BJake%252BSilverstein'}, {'name': 'Bookshop', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fbookshop.org%2Fa%2F3546%2F9780593230572&url2=https%3A%2F%2Fbookshop.org%2Fbooks%3Faffiliate%3D3546%26keywords%3DTHE%2B1619%2BPROJECT'}, {'name': 'IndieBound', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.indiebound.org%2Fbook%2F9780593230572%3Faff%3DNYT&url2=https%3A%2F%2Fwww.indiebound.org%2Fsearch%2Fbook%3Fkeys%3DTHE%2B1619%2BPROJECT%2Bedited%2B%2BNikole%2BHannah-Jones%252C%2BCaitlin%2BRoper%252C%2BIlena%2BSilverman%2Band%2BJake%2BSilverstein%26aff%3DNYT'}]",nyt://book/a38e3654-a631-555f-92be-bb380296e141,2022-01-02
2,3,11,0,0,0063076098,9780063076099,Dey Street,A memoir by the musician known for his work with Foo Fighters and Nirvana.,0.00,THE STORYTELLER,Dave Grohl,by Dave Grohl,,https://storage.googleapis.com/du-prd/books/images/9780063076099.jpg,331,500,https://www.amazon.com/dp/0063076098?tag=NYTBSREV-20,,,,,,"[{'isbn10': '0063076098', 'isbn13': '9780063076099'}, {'isbn10': '006307611X', 'isbn13': '9780063076112'}, {'isbn10': '0063076128', 'isbn13': '9780063076129'}]","[{'name': 'Amazon', 'url': 'https://www.amazon.com/dp/0063076098?tag=NYTBSREV-20'}, {'name': 'Apple Books', 'url': 'https://goto.applebooks.apple/9780063076099?at=10lIEQ'}, {'name': 'Barnes and Noble', 'url': 'https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9780063076099'}, {'name': 'Books-A-Million', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fp%252FTHE%252BSTORYTELLER%252FDave%252BGrohl%252F9780063076099&url2=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fsearch%253Fquery%253DTHE%252BSTORYTELLER%252BDave%252BGrohl'}, {'name': 'Bookshop', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fbookshop.org%2Fa%2F3546%2F9780063076099&url2=https%3A%2F%2Fbookshop.org%2Fbooks%3Faffiliate%3D3546%26keywords%3DTHE%2BSTORYTELLER'}, {'name': 'IndieBound', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.indiebound.org%2Fbook%2F9780063076099%3Faff%3DNYT&url2=https%3A%2F%2Fwww.indiebound.org%2Fsearch%2Fbook%3Fkeys%3DTHE%2BSTORYTELLER%2BDave%2BGrohl%26aff%3DNYT'}]",nyt://book/93914c6c-1313-51de-aa16-047a120720a9,2022-01-02
3,4,6,0,0,1984877925,9781984877925,Penguin Press,"The actor, producer and musician tells his life story and lessons he learned along the way.",0.00,WILL,Will Smith with Mark Manson,by Will Smith with Mark Manson,,https://storage.googleapis.com/du-prd/books/images/9781984877925.jpg,329,500,https://www.amazon.com/dp/1984877925?tag=NYTBSREV-20,,,,,,"[{'isbn10': '1984877925', 'isbn13': '9781984877925'}, {'isbn10': '1984877933', 'isbn13': '9781984877932'}, {'isbn10': '0593146239', 'isbn13': '9780593146231'}]","[{'name': 'Amazon', 'url': 'https://www.amazon.com/dp/1984877925?tag=NYTBSREV-20'}, {'name': 'Apple Books', 'url': 'https://goto.applebooks.apple/9781984877925?at=10lIEQ'}, {'name': 'Barnes and Noble', 'url': 'https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9781984877925'}, {'name': 'Books-A-Million', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fp%252FWILL%252FWill%252BSmith%252Bwith%252BMark%252BManson%252F9781984877925&url2=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fsearch%253Fquery%253DWILL%252BWill%252BSmith%252Bwith%252BMark%252BManson'}, {'name': 'Bookshop', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fbookshop.org%2Fa%2F3546%2F9781984877925&url2=https%3A%2F%2Fbookshop.org%2Fbooks%3Faffiliate%3D3546%26keywords%3DWILL'}, {'name': 'IndieBound', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.indiebound.org%2Fbook%2F9781984877925%3Faff%3DNYT&url2=https%3A%2F%2Fwww.indiebound.org%2Fsearch%2Fbook%3Fkeys%3DWILL%2BWill%2BSmith%2Bwith%2BMark%2BManson%26aff%3DNYT'}]",nyt://book/6c073ae4-fafc-5a46-ab24-d2d69d903ea7,2022-01-02
4,5,7,0,0,163149256X,9781631492563,Liveright,"A two-volume celebration of 154 songs, with handwritten texts, paintings and photographs from the songwriter’s archives.",0.00,THE LYRICS: 1956 TO THE PRESENT,Paul McCartney,by Paul McCartney,,https://storage.googleapis.com/du-prd/books/images/9781631492563.jpg,500,333,https://www.amazon.com/dp/163149256X?tag=NYTBSREV-20,,,,,,"[{'isbn10': '163149256X', 'isbn13': '9781631492563'}]","[{'name': 'Amazon', 'url': 'https://www.amazon.com/dp/163149256X?tag=NYTBSREV-20'}, {'name': 'Apple Books', 'url': 'https://goto.applebooks.apple/9781631492563?at=10lIEQ'}, {'name': 'Barnes and Noble', 'url': 'https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9781631492563'}, {'name': 'Books-A-Million', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fp%252FTHE%252BLYRICS%25253A%252B1956%252BTO%252BTHE%252BPRESENT%252FPaul%252BMcCartney%252F9781631492563&url2=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fsearch%253Fquery%253DTHE%252BLYRICS%25253A%252B1956%252BTO%252BTHE%252BPRESENT%252BPaul%252BMcCartney'}, {'name': 'Bookshop', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fbookshop.org%2Fa%2F3546%2F9781631492563&url2=https%3A%2F%2Fbookshop.org%2Fbooks%3Faffiliate%3D3546%26keywords%3DTHE%2BLYRICS%253A%2B1956%2BTO%2BTHE%2BPRESENT'}, {'name': 'IndieBound', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.indiebound.org%2Fbook%2F9781631492563%3Faff%3DNYT&url2=https%3A%2F%2Fwww.indiebound.org%2Fsearch%2Fbook%3Fkeys%3DTHE%2BLYRICS%253A%2B1956%2BTO%2BTHE%2BPRESENT%2BPaul%2BMcCartney%26aff%3DNYT'}]",nyt://book/3ab1af80-0bb8-5d72-98fe-f7a7642e2de5,2022-01-02
5,11,10,0,0,1982168013,9781982168018,Gallery,"The award-winning actor reflects on his career, Italian-American heritage, meals and mishaps.",0.00,TASTE,Stanley Tucci,by Stanley Tucci,,https://storage.googleapis.com/du-prd/books/images/9781982168018.jpg,331,500,https://www.amazon.com/dp/1982168013?tag=NYTBSREV-20,,,,,,"[{'isbn10': '1982168013', 'isbn13': '9781982168018'}, {'isbn10': '198216803X', 'isbn13': '9781982168032'}, {'isbn10': '1797123475', 'isbn13': '9781797123479'}, {'isbn10': '1797123491', 'isbn13': '9781797123493'}, {'isbn10': '1432891359', 'isbn13': '9781432891350'}]","[{'name': 'Amazon', 'url': 'https://www.amazon.com/dp/1982168013?tag=NYTBSREV-20'}, {'name': 'Apple Books', 'url': 'https://goto.applebooks.apple/9781982168018?at=10lIEQ'}, {'name': 'Barnes and Noble', 'url': 'https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9781982168018'}, {'name': 'Books-A-Million', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fp%252FTASTE%252FStanley%252BTucci%252F9781982168018&url2=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fsearch%253Fquery%253DTASTE%252BStanley%252BTucci'}, {'name': 'Bookshop', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fbookshop.org%2Fa%2F3546%2F9781982168018&url2=https%3A%2F%2Fbookshop.org%2Fbooks%3Faffiliate%3D3546%26keywords%3DTASTE'}, {'name': 'IndieBound', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.indiebound.org%2Fbook%2F9781982168018%3Faff%3DNYT&url2=https%3A%2F%2Fwww.indiebound.org%2Fsearch%2Fbook%3Fkeys%3DTASTE%2BStanley%2BTucci%26aff%3DNYT'}]",nyt://book/71e4d06f-0b48-5f21-93a5-5ed7f4e69eae,2022-01-02
6,2,5,0,0,0063046644,9780063046641,Broadside,A collection of holiday memories from members of the staff of Fox News.,0.00,ALL AMERICAN CHRISTMAS,Rachel Campos-Duffy and Sean Duffy,by Rachel Campos-Duffy and Sean Duffy,,https://storage.googleapis.com/du-prd/books/images/9780063046641.jpg,384,500,https://www.amazon.com/dp/0063046644?tag=NYTBSREV-20,,,,,,"[{'isbn10': '0063046644', 'isbn13': '9780063046641'}, {'isbn10': '0063046660', 'isbn13': '9780063046665'}]","[{'name': 'Amazon', 'url': 'https://www.amazon.com/dp/0063046644?tag=NYTBSREV-20'}, {'name': 'Apple Books', 'url': 'https://goto.applebooks.apple/9780063046641?at=10lIEQ'}, {'name': 'Barnes and Noble', 'url': 'https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9780063046641'}, {'name': 'Books-A-Million', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fp%252FALL%252BAMERICAN%252BCHRISTMAS%252FRachel%252BCampos-Duffy%252Band%252BSean%252BDuffy%252F9780063046641&url2=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fsearch%253Fquery%253DALL%252BAMERICAN%252BCHRISTMAS%252BRachel%252BCampos-Duffy%252Band%252BSean%252BDuffy'}, {'name': 'Bookshop', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fbookshop.org%2Fa%2F3546%2F9780063046641&url2=https%3A%2F%2Fbookshop.org%2Fbooks%3Faffiliate%3D3546%26keywords%3DALL%2BAMERICAN%2BCHRISTMAS'}, {'name': 'IndieBound', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.indiebound.org%2Fbook%2F9780063046641%3Faff%3DNYT&url2=https%3A%2F%2Fwww.indiebound.org%2Fsearch%2Fbook%3Fkeys%3DALL%2BAMERICAN%2BCHRISTMAS%2BRachel%2BCampos-Duffy%2Band%2BSean%2BDuffy%26aff%3DNYT'}]",nyt://book/4a1e0398-3667-54c5-b364-04e287829c05,2022-01-02
7,9,7,0,0,0525540571,9780525540571,Sentinel,The Fox News host gives an account of the relationship between Abraham Lincoln and Frederick Douglass.,0.00,THE PRESIDENT AND THE FREEDOM FIGHTER,Brian Kilmeade,by Brian Kilmeade,,https://storage.googleapis.com/du-prd/books/images/9780525540571.jpg,331,500,https://www.amazon.com/dp/0525540571?tag=NYTBSREV-20,,,,,,"[{'isbn10': '0525540571', 'isbn13': '9780525540571'}, {'isbn10': '0525540601', 'isbn13': '9780525540601'}, {'isbn10': '052554058X', 'isbn13': '9780525540588'}]","[{'name': 'Amazon', 'url': 'https://www.amazon.com/dp/0525540571?tag=NYTBSREV-20'}, {'name': 'Apple Books', 'url': 'https://goto.applebooks.apple/9780525540571?at=10lIEQ'}, {'name': 'Barnes and Noble', 'url': 'https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9780525540571'}, {'name': 'Books-A-Million', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fp%252FTHE%252BPRESIDENT%252BAND%252BTHE%252BFREEDOM%252BFIGHTER%252FBrian%252BKilmeade%252F9780525540571&url2=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fsearch%253Fquery%253DTHE%252BPRESIDENT%252BAND%252BTHE%252BFREEDOM%252BFIGHTER%252BBrian%252BKilmeade'}, {'name': 'Bookshop', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fbookshop.org%2Fa%2F3546%2F9780525540571&url2=https%3A%2F%2Fbookshop.org%2Fbooks%3Faffiliate%3D3546%26keywords%3DTHE%2BPRESIDENT%2BAND%2BTHE%2BFREEDOM%2BFIGHTER'}, {'name': 'IndieBound', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.indiebound.org%2Fbook%2F9780525540571%3Faff%3DNYT&url2=https%3A%2F%2Fwww.indiebound.org%2Fsearch%2Fbook%3Fkeys%3DTHE%2BPRESIDENT%2BAND%2BTHE%2BFREEDOM%2BFIGHTER%2BBrian%2BKilmeade%26aff%3DNYT'}]",nyt://book/aaf9fd71-067b-5489-ad91-bbf199ceff0b,2022-01-02
8,0,1,0,0,0060959479,9780060959470,Morrow,The late feminist icon explores the causes of a polarized society and the meaning of love.,0.00,ALL ABOUT LOVE,bell hooks,by bell hooks,,https://storage.googleapis.com/du-prd/books/images/9780060959470.jpg,319,500,https://www.amazon.com/dp/0060959479?tag=NYTBSREV-20,,,,https://www.nytimes.com/2000/01/30/books/that-4-letter-word.html,,"[{'isbn10': '0060959479', 'isbn13': '9780060959470'}, {'isbn10': '0062862170', 'isbn13': '9780062862174'}]","[{'name': 'Amazon', 'url': 'https://www.amazon.com/dp/0060959479?tag=NYTBSREV-20'}, {'name': 'Apple Books', 'url': 'https://goto.applebooks.apple/9780060959470?at=10lIEQ'}, {'name': 'Barnes and Noble', 'url': 'https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9780060959470'}, {'name': 'Books-A-Million', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fp%252FALL%252BABOUT%252BLOVE%252Fbell%252Bhooks%252F9780060959470&url2=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fsearch%253Fquery%253DALL%252BABOUT%252BLOVE%252Bbell%252Bhooks'}, {'name': 'Bookshop', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fbookshop.org%2Fa%2F3546%2F9780060959470&url2=https%3A%2F%2Fbookshop.org%2Fbooks%3Faffiliate%3D3546%26keywords%3DALL%2BABOUT%2BLOVE'}, {'name': 'IndieBound', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.indiebound.org%2Fbook%2F9780060959470%3Faff%3DNYT&url2=https%3A%2F%2Fwww.indiebound.org%2Fsearch%2Fbook%3Fkeys%3DALL%2BABOUT%2BLOVE%2Bbell%2Bhooks%26aff%3DNYT'}]",nyt://book/84ce374b-f6b1-5f05-8556-b0e09e97679c,2022-01-02
9,10,6,0,0,0935112960,9780935112962,Callaway,"The story of the making of the band’s final album, gathered from transcripts of their conversations.",0.00,THE BEATLES: GET BACK,the Beatles,by the Beatles,,https://storage.googleapis.com/du-prd/books/images/9780935112962.jpg,417,500,https://www.amazon.com/dp/0935112960?tag=NYTBSREV-20,,,,,,"[{'isbn10': '0935112960', 'isbn13': '9780935112962'}, {'isbn10': '173453771X', 'isbn13': '9781734537710'}]","[{'name': 'Amazon', 'url': 'https://www.amazon.com/dp/0935112960?tag=NYTBSREV-20'}, {'name': 'Apple Books', 'url': 'https://goto.applebooks.apple/9780935112962?at=10lIEQ'}, {'name': 'Barnes and Noble', 'url': 'https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9780935112962'}, {'name': 'Books-A-Million', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fp%252FTHE%252BBEATLES%25253A%252BGET%252BBACK%252Fthe%252BBeatles%252F9780935112962&url2=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fsearch%253Fquery%253DTHE%252BBEATLES%25253A%252BGET%252BBACK%252Bthe%252BBeatles'}, {'name': 'Bookshop', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fbookshop.org%2Fa%2F3546%2F9780935112962&url2=https%3A%2F%2Fbookshop.org%2Fbooks%3Faffiliate%3D3546%26keywords%3DTHE%2BBEATLES%253A%2BGET%2BBACK'}, {'name': 'IndieBound', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.indiebound.org%2Fbook%2F9780935112962%3Faff%3DNYT&url2=https%3A%2F%2Fwww.indiebound.org%2Fsearch%2Fbook%3Fkeys%3DTHE%2BBEATLES%253A%2BGET%2BBACK%2Bthe%2BBeatles%26aff%3DNYT'}]",nyt://book/e97c3817-0cfa-5c58-9490-2e31afc95c00,2022-01-02
10,12,69,0,0,0143127748,9780143127741,Penguin,"How trauma affects the body and mind, and innovative treatments for recovery.",0.00,THE BODY KEEPS THE SCORE,Bessel van der Kolk,by Bessel van der Kolk,,https://storage.googleapis.com/du-prd/books/images/9780670785933.jpg,128,193,http://www.amazon.com/The-Body-Keeps-Score-Healing/dp/0670785938?tag=NYTBSREV-20,,https://www.nytimes.com/2018/10/18/books/review/how-to-rewire-your-traumatized-brain.html,,,,"[{'isbn10': '0670785938', 'isbn13': '9780670785933'}, {'isbn10': '0143127748', 'isbn13': '9780143127741'}, {'isbn10': '1469092352', 'isbn13': '9781469092355'}]","[{'name': 'Amazon', 'url': 'http://www.amazon.com/The-Body-Keeps-Score-Healing/dp/0670785938?tag=NYTBSREV-20'}, {'name': 'Apple Books', 'url': 'https://goto.applebooks.apple/9780143127741?at=10lIEQ'}, {'name': 'Barnes and Noble', 'url': 'https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9780143127741'}, {'name': 'Books-A-Million', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fp%252FTHE%252BBODY%252BKEEPS%252BTHE%252BSCORE%252FBessel%252Bvan%252Bder%252BKolk%252F9780143127741&url2=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fsearch%253Fquery%253DTHE%252BBODY%252BKEEPS%252BTHE%252BSCORE%252BBessel%252Bvan%252Bder%252BKolk'}, {'name': 'Bookshop', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fbookshop.org%2Fa%2F3546%2F9780143127741&url2=https%3A%2F%2Fbookshop.org%2Fbooks%3Faffiliate%3D3546%26keywords%3DTHE%2BBODY%2BKEEPS%2BTHE%2BSCORE'}, {'name': 'IndieBound', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.indiebound.org%2Fbook%2F9780143127741%3Faff%3DNYT&url2=https%3A%2F%2Fwww.indiebound.org%2Fsearch%2Fbook%3Fkeys%3DTHE%2BBODY%2BKEEPS%2BTHE%2BSCORE%2BBessel%2Bvan%2Bder%2BKolk%26aff%3DNYT'}]",nyt://book/e3e33e9d-0e67-5fec-b0d2-2ecddc38ce0e,2022-01-02
