rank,rank_last_week,weeks_on_list,asterisk,dagger,primary_isbn10,primary_isbn13,publisher,description,price,title,author,contributor,contributor_note,book_image,book_image_width,book_image_height,amazon_product_url,age_group,book_review_link,first_chapter_link,sunday_review_link,article_chapter_link,isbns,buy_links,book_uri,published_date
1,4,11,0,0,159420487X,9781594204876,Penguin Press,A biography of the Union general of the Civil War and two-term president of the United States.,0.00,GRANT,Ron Chernow,by Ron Chernow,,https://storage.googleapis.com/du-prd/books/images/9781594204876.jpg,326,495,https://www.amazon.com/Grant-Ron-Chernow/dp/159420487X?tag=NYTBSREV-20,,https://www.nytimes.com/2017/10/12/books/review/ron-chernow-ulysses-s-grant-biography-bill-clinton.html,,,,"[{'isbn10': '159420487X', 'isbn13': '9781594204876'}, {'isbn10': '052552195X', 'isbn13': '9780525521952'}, {'isbn10': '0525498648', 'isbn13': '9780525498643'}, {'isbn10': '0525529217', 'isbn13': '9780525529217'}, {'isbn10': '0525528458', 'isbn13': '9780525528456'}, {'isbn10': '052552844X', 'isbn13': '9780525528449'}, {'isbn10': '0143110632', 'isbn13': '9780143110637'}]","[{'name': 'Amazon', 'url': 'https://www.amazon.com/Grant-Ron-Chernow/dp/159420487X?tag=NYTBSREV-20'}, {'name': 'Apple Books', 'url': 'https://goto.applebooks.apple/9781594204876?at=10lIEQ'}, {'name': 'Barnes and Noble', 'url': 'https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9781594204876'}, {'name': 'Books-A-Million', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fp%252FGRANT%252FRon%252BChernow%252F9781594204876&url2=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fsearch%253Fquery%253DGRANT%252BRon%252BChernow'}, {'name': 'Bookshop', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fbookshop.org%2Fa%2F3546%2F9781594204876&url2=https%3A%2F%2Fbookshop.org%2Fbooks%3Faffiliate%3D3546%26keywords%3DGRANT'}, {'name': 'IndieBound', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.indiebound.org%2Fbook%2F9781594204876%3Faff%3DNYT&url2=https%3A%2F%2Fwww.indiebound.org%2Fsearch%2Fbook%3Fkeys%3DGRANT%2BRon%2BChernow%26aff%3DNYT'}]",nyt://book/0e28585e-24c3-52f2-bdd4-4ffe1b2ca0cf,2018-01-07
2,1,10,0,0,1501139150,9781501139154,Simon & Schuster,A biography of the Italian Renaissance polymath which connects his work in various disciplines.,0.00,LEONARDO DA VINCI,Walter Isaacson,by Walter Isaacson,,https://storage.googleapis.com/du-prd/books/images/9781501139154.jpg,329,495,https://www.amazon.com/Leonardo-Vinci-Walter-Isaacson/dp/1501139150?tag=NYTBSREV-20,,https://www.nytimes.com/2017/11/27/books/review/leonardo-da-vinci-biography-walter-isaacson.html,,,,"[{'isbn10': '1501139150', 'isbn13': '9781501139154'}, {'isbn10': '1501139177', 'isbn13': '9781501139178'}, {'isbn10': '1508241988', 'isbn13': '9781508241980'}, {'isbn10': '1501139169', 'isbn13': '9781501139161'}, {'isbn10': '1947783734', 'isbn13': '9781947783737'}, {'isbn10': '1471166775', 'isbn13': '9781471166778'}]","[{'name': 'Amazon', 'url': 'https://www.amazon.com/Leonardo-Vinci-Walter-Isaacson/dp/1501139150?tag=NYTBSREV-20'}, {'name': 'Apple Books', 'url': 'https://goto.applebooks.apple/9781501139154?at=10lIEQ'}, {'name': 'Barnes and Noble', 'url': 'https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9781501139154'}, {'name': 'Books-A-Million', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fp%252FLEONARDO%252BDA%252BVINCI%252FWalter%252BIsaacson%252F9781501139154&url2=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fsearch%253Fquery%253DLEONARDO%252BDA%252BVINCI%252BWalter%252BIsaacson'}, {'name': 'Bookshop', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fbookshop.org%2Fa%2F3546%2F9781501139154&url2=https%3A%2F%2Fbookshop.org%2Fbooks%3Faffiliate%3D3546%26keywords%3DLEONARDO%2BDA%2BVINCI'}, {'name': 'IndieBound', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.indiebound.org%2Fbook%2F9781501139154%3Faff%3DNYT&url2=https%3A%2F%2Fwww.indiebound.org%2Fsearch%2Fbook%3Fkeys%3DLEONARDO%2BDA%2BVINCI%2BWalter%2BIsaacson%26aff%3DNYT'}]",nyt://book/dfa48a0d-1126-52c3-8771-a3c0b7e9c418,2018-01-07
3,3,6,0,0,1250171679,9781250171672,Flatiron Books,"The former vice president recalls his toughest year in office, as his son battled brain cancer.",0.00,"PROMISE ME, DAD",Joe Biden,by Joe Biden,,https://storage.googleapis.com/du-prd/books/images/9781250171672.jpg,328,495,https://www.amazon.com/Promise-Me-Dad-Hardship-Purpose/dp/1250171679?tag=NYTBSREV-20,,,,,,"[{'isbn10': '1250171679', 'isbn13': '9781250171672'}, {'isbn10': '1250171687', 'isbn13': '9781250171689'}, {'isbn10': '1250183944', 'isbn13': '9781250183941'}, {'isbn10': '1250171695', 'isbn13': '9781250171696'}]","[{'name': 'Amazon', 'url': 'https://www.amazon.com/Promise-Me-Dad-Hardship-Purpose/dp/1250171679?tag=NYTBSREV-20'}, {'name': 'Apple Books', 'url': 'https://goto.applebooks.apple/9781250171672?at=10lIEQ'}, {'name': 'Barnes and Noble', 'url': 'https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9781250171672'}, {'name': 'Books-A-Million', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fp%252FPROMISE%252BME%25252C%252BDAD%252FJoe%252BBiden%252F9781250171672&url2=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fsearch%253Fquery%253DPROMISE%252BME%25252C%252BDAD%252BJoe%252BBiden'}, {'name': 'Bookshop', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fbookshop.org%2Fa%2F3546%2F9781250171672&url2=https%3A%2F%2Fbookshop.org%2Fbooks%3Faffiliate%3D3546%26keywords%3DPROMISE%2BME%252C%2BDAD'}, {'name': 'IndieBound', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.indiebound.org%2Fbook%2F9781250171672%3Faff%3DNYT&url2=https%3A%2F%2Fwww.indiebound.org%2Fsearch%2Fbook%3Fkeys%3DPROMISE%2BME%252C%2BDAD%2BJoe%2BBiden%26aff%3DNYT'}]",nyt://book/d75a85ec-c8ee-5e30-986b-3eaf6efbd542,2018-01-07
4,2,7,0,0,0316512583,9780316512589,"Little, Brown","More than 300 pictures of the former president by his White House photographer, with behind-the-scenes stories.",0.00,OBAMA,Pete Souza,by Pete Souza,,https://storage.googleapis.com/du-prd/books/images/9780316512589.jpg,330,275,https://www.amazon.com/Obama-Intimate-Portrait-Pete-Souza/dp/0316512583?tag=NYTBSREV-20,,,,,,"[{'isbn10': '0316512583', 'isbn13': '9780316512589'}, {'isbn10': '0316512591', 'isbn13': '9780316512596'}, {'isbn10': '0316512575', 'isbn13': '9780316512572'}]","[{'name': 'Amazon', 'url': 'https://www.amazon.com/Obama-Intimate-Portrait-Pete-Souza/dp/0316512583?tag=NYTBSREV-20'}, {'name': 'Apple Books', 'url': 'https://goto.applebooks.apple/9780316512589?at=10lIEQ'}, {'name': 'Barnes and Noble', 'url': 'https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9780316512589'}, {'name': 'Books-A-Million', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fp%252FOBAMA%252FPete%252BSouza%252F9780316512589&url2=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fsearch%253Fquery%253DOBAMA%252BPete%252BSouza'}, {'name': 'Bookshop', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fbookshop.org%2Fa%2F3546%2F9780316512589&url2=https%3A%2F%2Fbookshop.org%2Fbooks%3Faffiliate%3D3546%26keywords%3DOBAMA'}, {'name': 'IndieBound', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.indiebound.org%2Fbook%2F9780316512589%3Faff%3DNYT&url2=https%3A%2F%2Fwww.indiebound.org%2Fsearch%2Fbook%3Fkeys%3DOBAMA%2BPete%2BSouza%26aff%3DNYT'}]",nyt://book/d98ff65e-c4e4-5088-8bdc-e38a3079b0e1,2018-01-07
5,6,33,0,0,0393609391,9780393609394,Norton,"A straightforward, easy-to-understand introduction to the laws that govern the universe.",0.00,ASTROPHYSICS FOR PEOPLE IN A HURRY,Neil deGrasse Tyson,by Neil deGrasse Tyson,,https://storage.googleapis.com/du-prd/books/images/9780393609394.jpg,305,495,https://www.amazon.com/Astrophysics-People-Hurry-deGrasse-Tyson/dp/0393609391?tag=NYTBSREV-20,,,,,,"[{'isbn10': '0393609391', 'isbn13': '9780393609394'}, {'isbn10': '0393609405', 'isbn13': '9780393609400'}, {'isbn10': '1432843524', 'isbn13': '9781432843526'}, {'isbn10': '1538408015', 'isbn13': '9781538408018'}, {'isbn10': '1538408007', 'isbn13': '9781538408001'}, {'isbn10': '1538408031', 'isbn13': '9781538408032'}, {'isbn10': '1538408023', 'isbn13': '9781538408025'}]","[{'name': 'Amazon', 'url': 'https://www.amazon.com/Astrophysics-People-Hurry-deGrasse-Tyson/dp/0393609391?tag=NYTBSREV-20'}, {'name': 'Apple Books', 'url': 'https://goto.applebooks.apple/9780393609394?at=10lIEQ'}, {'name': 'Barnes and Noble', 'url': 'https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9780393609394'}, {'name': 'Books-A-Million', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fp%252FASTROPHYSICS%252BFOR%252BPEOPLE%252BIN%252BA%252BHURRY%252FNeil%252BdeGrasse%252BTyson%252F9780393609394&url2=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fsearch%253Fquery%253DASTROPHYSICS%252BFOR%252BPEOPLE%252BIN%252BA%252BHURRY%252BNeil%252BdeGrasse%252BTyson'}, {'name': 'Bookshop', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fbookshop.org%2Fa%2F3546%2F9780393609394&url2=https%3A%2F%2Fbookshop.org%2Fbooks%3Faffiliate%3D3546%26keywords%3DASTROPHYSICS%2BFOR%2BPEOPLE%2BIN%2BA%2BHURRY'}, {'name': 'IndieBound', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.indiebound.org%2Fbook%2F9780393609394%3Faff%3DNYT&url2=https%3A%2F%2Fwww.indiebound.org%2Fsearch%2Fbook%3Fkeys%3DASTROPHYSICS%2BFOR%2BPEOPLE%2BIN%2BA%2BHURRY%2BNeil%2BdeGrasse%2BTyson%26aff%3DNYT'}]",nyt://book/29aebe36-de8b-55ac-87d8-6dbf2b87ce39,2018-01-07
6,9,14,0,0,1627790640,9781627790642,Holt,Major events and battles during the Revolutionary War are told from several perspectives.,0.00,KILLING ENGLAND,Bill O'Reilly and Martin Dugard,by Bill O'Reilly and Martin Dugard,,https://storage.googleapis.com/du-prd/books/images/9781627790642.jpg,327,495,https://www.amazon.com/Killing-England-Struggle-American-Independence/dp/1627790640?tag=NYTBSREV-20,,,,,,"[{'isbn10': '1627790640', 'isbn13': '9781627790642'}, {'isbn10': '1627790659', 'isbn13': '9781627790659'}, {'isbn10': '1432844385', 'isbn13': '9781432844387'}]","[{'name': 'Amazon', 'url': 'https://www.amazon.com/Killing-England-Struggle-American-Independence/dp/1627790640?tag=NYTBSREV-20'}, {'name': 'Apple Books', 'url': 'https://goto.applebooks.apple/9781627790642?at=10lIEQ'}, {'name': 'Barnes and Noble', 'url': 'https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9781627790642'}, {'name': 'Books-A-Million', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fp%252FKILLING%252BENGLAND%252FBill%252BO%252527Reilly%252Band%252BMartin%252BDugard%252F9781627790642&url2=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fsearch%253Fquery%253DKILLING%252BENGLAND%252BBill%252BO%252527Reilly%252Band%252BMartin%252BDugard'}, {'name': 'Bookshop', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fbookshop.org%2Fa%2F3546%2F9781627790642&url2=https%3A%2F%2Fbookshop.org%2Fbooks%3Faffiliate%3D3546%26keywords%3DKILLING%2BENGLAND'}, {'name': 'IndieBound', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.indiebound.org%2Fbook%2F9781627790642%3Faff%3DNYT&url2=https%3A%2F%2Fwww.indiebound.org%2Fsearch%2Fbook%3Fkeys%3DKILLING%2BENGLAND%2BBill%2BO%2527Reilly%2Band%2BMartin%2BDugard%26aff%3DNYT'}]",nyt://book/597cfc36-c5fb-59ea-a30b-3ed9809df746,2018-01-07
7,5,9,0,0,0735213232,9780735213234,Sentinel,Major General Jackson takes on the British in Louisiana.,0.00,ANDREW JACKSON AND THE MIRACLE OF NEW ORLEANS,Brian Kilmeade and Don Yaeger,by Brian Kilmeade and Don Yaeger,,https://storage.googleapis.com/du-prd/books/images/9780735213234.jpg,328,495,https://www.amazon.com/Andrew-Jackson-Miracle-New-Orleans/dp/0735213232?tag=NYTBSREV-20,,,,,,"[{'isbn10': '0735213232', 'isbn13': '9780735213234'}, {'isbn10': '0735213259', 'isbn13': '9780735213258'}, {'isbn10': '0735213240', 'isbn13': '9780735213241'}]","[{'name': 'Amazon', 'url': 'https://www.amazon.com/Andrew-Jackson-Miracle-New-Orleans/dp/0735213232?tag=NYTBSREV-20'}, {'name': 'Apple Books', 'url': 'https://goto.applebooks.apple/9780735213234?at=10lIEQ'}, {'name': 'Barnes and Noble', 'url': 'https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9780735213234'}, {'name': 'Books-A-Million', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fp%252FANDREW%252BJACKSON%252BAND%252BTHE%252BMIRACLE%252BOF%252BNEW%252BORLEANS%252FBrian%252BKilmeade%252Band%252BDon%252BYaeger%252F9780735213234&url2=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fsearch%253Fquery%253DANDREW%252BJACKSON%252BAND%252BTHE%252BMIRACLE%252BOF%252BNEW%252BORLEANS%252BBrian%252BKilmeade%252Band%252BDon%252BYaeger'}, {'name': 'Bookshop', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fbookshop.org%2Fa%2F3546%2F9780735213234&url2=https%3A%2F%2Fbookshop.org%2Fbooks%3Faffiliate%3D3546%26keywords%3DANDREW%2BJACKSON%2BAND%2BTHE%2BMIRACLE%2BOF%2BNEW%2BORLEANS'}, {'name': 'IndieBound', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.indiebound.org%2Fbook%2F9780735213234%3Faff%3DNYT&url2=https%3A%2F%2Fwww.indiebound.org%2Fsearch%2Fbook%3Fkeys%3DANDREW%2BJACKSON%2BAND%2BTHE%2BMIRACLE%2BOF%2BNEW%2BORLEANS%2BBrian%2BKilmeade%2Band%2BDon%2BYaeger%26aff%3DNYT'}]",nyt://book/7443903b-8d4b-5266-9b73-27f826fade98,2018-01-07
8,7,8,0,0,1501111868,9781501111860,Simon & Schuster,The New York senator's journey from his formative years to his tragic run for president.,0.00,BOBBY KENNEDY,Chris Matthews,by Chris Matthews,,https://storage.googleapis.com/du-prd/books/images/9781501111860.jpg,330,491,https://www.amazon.com/Bobby-Kennedy-Raging-Chris-Matthews/dp/1501111868?tag=NYTBSREV-20,,,,,,"[{'isbn10': '1501111868', 'isbn13': '9781501111860'}, {'isbn10': '1501111884', 'isbn13': '9781501111884'}]","[{'name': 'Amazon', 'url': 'https://www.amazon.com/Bobby-Kennedy-Raging-Chris-Matthews/dp/1501111868?tag=NYTBSREV-20'}, {'name': 'Apple Books', 'url': 'https://goto.applebooks.apple/9781501111860?at=10lIEQ'}, {'name': 'Barnes and Noble', 'url': 'https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9781501111860'}, {'name': 'Books-A-Million', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fp%252FBOBBY%252BKENNEDY%252FChris%252BMatthews%252F9781501111860&url2=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fsearch%253Fquery%253DBOBBY%252BKENNEDY%252BChris%252BMatthews'}, {'name': 'Bookshop', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fbookshop.org%2Fa%2F3546%2F9781501111860&url2=https%3A%2F%2Fbookshop.org%2Fbooks%3Faffiliate%3D3546%26keywords%3DBOBBY%2BKENNEDY'}, {'name': 'IndieBound', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.indiebound.org%2Fbook%2F9781501111860%3Faff%3DNYT&url2=https%3A%2F%2Fwww.indiebound.org%2Fsearch%2Fbook%3Fkeys%3DBOBBY%2BKENNEDY%2BChris%2BMatthews%26aff%3DNYT'}]",nyt://book/15fc2c39-3100-5620-843b-a6ebfa6acda9,2018-01-07
9,10,28,0,0,0385534248,9780385534246,Doubleday,"The story of a murder spree in 1920s Oklahoma that targeted Osage Indians, whose lands contained oil.",0.00,KILLERS OF THE FLOWER MOON,David Grann,by David Grann,,https://storage.googleapis.com/du-prd/books/images/9780385534246.jpg,326,495,https://www.amazon.com/Killers-Flower-Moon-Osage-Murders/dp/0385534248?tag=NYTBSREV-20,,https://www.nytimes.com/2017/04/28/books/review/killers-of-the-flower-moon-david-grann.html,,,,"[{'isbn10': '0385534248', 'isbn13': '9780385534246'}, {'isbn10': '0385534256', 'isbn13': '9780385534253'}, {'isbn10': '1524755931', 'isbn13': '9781524755935'}, {'isbn10': '0307742482', 'isbn13': '9780307742483'}, {'isbn10': '1471166554', 'isbn13': '9781471166556'}, {'isbn10': '1984883860', 'isbn13': '9781984883865'}]","[{'name': 'Amazon', 'url': 'https://www.amazon.com/Killers-Flower-Moon-Osage-Murders/dp/0385534248?tag=NYTBSREV-20'}, {'name': 'Apple Books', 'url': 'https://goto.applebooks.apple/9780385534246?at=10lIEQ'}, {'name': 'Barnes and Noble', 'url': 'https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9780385534246'}, {'name': 'Books-A-Million', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fp%252FKILLERS%252BOF%252BTHE%252BFLOWER%252BMOON%252FDavid%252BGrann%252F9780385534246&url2=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fsearch%253Fquery%253DKILLERS%252BOF%252BTHE%252BFLOWER%252BMOON%252BDavid%252BGrann'}, {'name': 'Bookshop', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fbookshop.org%2Fa%2F3546%2F9780385534246&url2=https%3A%2F%2Fbookshop.org%2Fbooks%3Faffiliate%3D3546%26keywords%3DKILLERS%2BOF%2BTHE%2BFLOWER%2BMOON'}, {'name': 'IndieBound', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.indiebound.org%2Fbook%2F9780385534246%3Faff%3DNYT&url2=https%3A%2F%2Fwww.indiebound.org%2Fsearch%2Fbook%3Fkeys%3DKILLERS%2BOF%2BTHE%2BFLOWER%2BMOON%2BDavid%2BGrann%26aff%3DNYT'}]",nyt://book/bd6bc4b7-8357-5fe1-a994-5e5667e38134,2018-01-07
10,8,3,0,0,1546083308,9781546083306,Center Street,Insider accounts of the Republican presidential campaign and its outcome by two of its advisers.,0.00,LET TRUMP BE TRUMP,Corey R Lewandowski and David N Bossie,by Corey R. Lewandowski and David N. Bossie,,https://storage.googleapis.com/du-prd/books/images/9781546083306.jpg,329,495,https://www.amazon.com/Let-Trump-Be-Inside-Presidency/dp/1546083308?tag=NYTBSREV-20,,,,,,"[{'isbn10': '1546083308', 'isbn13': '9781546083306'}, {'isbn10': '1546083294', 'isbn13': '9781546083290'}]","[{'name': 'Amazon', 'url': 'https://www.amazon.com/Let-Trump-Be-Inside-Presidency/dp/1546083308?tag=NYTBSREV-20'}, {'name': 'Apple Books', 'url': 'https://goto.applebooks.apple/9781546083306?at=10lIEQ'}, {'name': 'Barnes and Noble', 'url': 'https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9781546083306'}, {'name': 'Books-A-Million', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fp%252FLET%252BTRUMP%252BBE%252BTRUMP%252FCorey%252BR%252BLewandowski%252Band%252BDavid%252BN%252BBossie%252F9781546083306&url2=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fsearch%253Fquery%253DLET%252BTRUMP%252BBE%252BTRUMP%252BCorey%252BR%252BLewandowski%252Band%252BDavid%252BN%252BBossie'}, {'name': 'Bookshop', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fbookshop.org%2Fa%2F3546%2F9781546083306&url2=https%3A%2F%2Fbookshop.org%2Fbooks%3Faffiliate%3D3546%26keywords%3DLET%2BTRUMP%2BBE%2BTRUMP'}, {'name': 'IndieBound', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.indiebound.org%2Fbook%2F9781546083306%3Faff%3DNYT&url2=https%3A%2F%2Fwww.indiebound.org%2Fsearch%2Fbook%3Fkeys%3DLET%2BTRUMP%2BBE%2BTRUMP%2BCorey%2BR%2BLewandowski%2Band%2BDavid%2BN%2BBossie%26aff%3DNYT'}]",nyt://book/253a3533-65fd-5ba1-bada-8e18f26fa69f,2018-01-07
