rank,rank_last_week,weeks_on_list,asterisk,dagger,primary_isbn10,primary_isbn13,publisher,description,price,title,author,contributor,contributor_note,book_image,book_image_width,book_image_height,amazon_product_url,age_group,book_review_link,first_chapter_link,sunday_review_link,article_chapter_link,isbns,buy_links,book_uri,published_date
1,1,96,0,0,0399590501,9780399590504,Random House,"The daughter of survivalists, who is kept out of school, educates herself enough to leave home for university.",0.00,EDUCATED,Tara Westover,by Tara Westover,,https://storage.googleapis.com/du-prd/books/images/9780399590504.jpg,328,495,https://www.amazon.com/Educated-Memoir-Tara-Westover/dp/0399590501?tag=NYTBSREV-20,,https://www.nytimes.com/2018/03/01/books/review/tara-westover-educated.html,,,,"[{'isbn10': '0399590501', 'isbn13': '9780399590504'}, {'isbn10': '039959051X', 'isbn13': '9780399590511'}, {'isbn10': '0525589988', 'isbn13': '9780525589983'}, {'isbn10': '0525528059', 'isbn13': '9780525528050'}, {'isbn10': '0399590528', 'isbn13': '9780399590528'}]","[{'name': 'Amazon', 'url': 'https://www.amazon.com/Educated-Memoir-Tara-Westover/dp/0399590501?tag=NYTBSREV-20'}, {'name': 'Apple Books', 'url': 'https://goto.applebooks.apple/9780399590504?at=10lIEQ'}, {'name': 'Barnes and Noble', 'url': 'https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9780399590504'}, {'name': 'Books-A-Million', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fp%252FEDUCATED%252FTara%252BWestover%252F9780399590504&url2=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fsearch%253Fquery%253DEDUCATED%252BTara%252BWestover'}, {'name': 'Bookshop', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fbookshop.org%2Fa%2F3546%2F9780399590504&url2=https%3A%2F%2Fbookshop.org%2Fbooks%3Faffiliate%3D3546%26keywords%3DEDUCATED'}, {'name': 'IndieBound', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.indiebound.org%2Fbook%2F9780399590504%3Faff%3DNYT&url2=https%3A%2F%2Fwww.indiebound.org%2Fsearch%2Fbook%3Fkeys%3DEDUCATED%2BTara%2BWestover%26aff%3DNYT'}]",nyt://book/08c80da5-f436-5afd-b925-42fe6f0c28cc,2020-01-05
2,3,55,0,0,1524763136,9781524763138,Crown,"The former first lady describes her journey from the South Side of Chicago to the White House, and how she balanced work, family and her husband’s political ascent.",0.00,BECOMING,Michelle Obama,by Michelle Obama,,https://storage.googleapis.com/du-prd/books/images/9781524763138.jpg,326,495,https://www.amazon.com/Becoming-Michelle-Obama/dp/1524763136?tag=NYTBSREV-20,,https://www.nytimes.com/2018/12/06/books/review/michelle-obama-becoming-memoir.html,,,,"[{'isbn10': '1524763136', 'isbn13': '9781524763138'}, {'isbn10': '0525633677', 'isbn13': '9780525633679'}, {'isbn10': '1524763144', 'isbn13': '9781524763145'}]","[{'name': 'Amazon', 'url': 'https://www.amazon.com/Becoming-Michelle-Obama/dp/1524763136?tag=NYTBSREV-20'}, {'name': 'Apple Books', 'url': 'https://goto.applebooks.apple/9781524763138?at=10lIEQ'}, {'name': 'Barnes and Noble', 'url': 'https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9781524763138'}, {'name': 'Books-A-Million', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fp%252FBECOMING%252FMichelle%252BObama%252F9781524763138&url2=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fsearch%253Fquery%253DBECOMING%252BMichelle%252BObama'}, {'name': 'Bookshop', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fbookshop.org%2Fa%2F3546%2F9781524763138&url2=https%3A%2F%2Fbookshop.org%2Fbooks%3Faffiliate%3D3546%26keywords%3DBECOMING'}, {'name': 'IndieBound', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.indiebound.org%2Fbook%2F9781524763138%3Faff%3DNYT&url2=https%3A%2F%2Fwww.indiebound.org%2Fsearch%2Fbook%3Fkeys%3DBECOMING%2BMichelle%2BObama%26aff%3DNYT'}]",nyt://book/2892bc2e-4ad3-5e0a-bc6e-d2cd983c3c52,2020-01-05
3,5,15,0,0,0316478520,9780316478526,"Little, Brown",Famous examples of miscommunication serve as the backdrop to explain potential conflicts and misunderstandings.,0.00,TALKING TO STRANGERS,Malcolm Gladwell,by Malcolm Gladwell,,https://storage.googleapis.com/du-prd/books/images/9780316478526.jpg,330,491,https://www.amazon.com/Talking-Strangers-Should-about-People/dp/0316478520?tag=NYTBSREV-20,,https://www.nytimes.com/2019/09/04/books/review-talking-to-strangers-malcolm-gladwell.html,,,,"[{'isbn10': '0316478520', 'isbn13': '9780316478526'}, {'isbn10': '0316535575', 'isbn13': '9780316535571'}, {'isbn10': '0316535621', 'isbn13': '9780316535625'}, {'isbn10': '1549150340', 'isbn13': '9781549150340'}, {'isbn10': '1549150332', 'isbn13': '9781549150333'}, {'isbn10': '1549100025', 'isbn13': '9781549100024'}, {'isbn10': '1549100017', 'isbn13': '9781549100017'}, {'isbn10': '0316299227', 'isbn13': '9780316299220'}]","[{'name': 'Amazon', 'url': 'https://www.amazon.com/Talking-Strangers-Should-about-People/dp/0316478520?tag=NYTBSREV-20'}, {'name': 'Apple Books', 'url': 'https://goto.applebooks.apple/9780316478526?at=10lIEQ'}, {'name': 'Barnes and Noble', 'url': 'https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9780316478526'}, {'name': 'Books-A-Million', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fp%252FTALKING%252BTO%252BSTRANGERS%252FMalcolm%252BGladwell%252F9780316478526&url2=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fsearch%253Fquery%253DTALKING%252BTO%252BSTRANGERS%252BMalcolm%252BGladwell'}, {'name': 'Bookshop', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fbookshop.org%2Fa%2F3546%2F9780316478526&url2=https%3A%2F%2Fbookshop.org%2Fbooks%3Faffiliate%3D3546%26keywords%3DTALKING%2BTO%2BSTRANGERS'}, {'name': 'IndieBound', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.indiebound.org%2Fbook%2F9780316478526%3Faff%3DNYT&url2=https%3A%2F%2Fwww.indiebound.org%2Fsearch%2Fbook%3Fkeys%3DTALKING%2BTO%2BSTRANGERS%2BMalcolm%2BGladwell%26aff%3DNYT'}]",nyt://book/b3a4a570-37de-54bd-97de-8dbd6775a663,2020-01-05
4,2,10,0,0,1250147603,9781250147608,Holt,"The multi-award-winning solo artist's first autobiography chronicles his career, relationships and private struggles.",0.00,ME,Elton John,by Elton John,,https://storage.googleapis.com/du-prd/books/images/9781250147608.jpg,322,495,https://www.amazon.com/Me-Elton-John-Official-Autobiography/dp/1250147603?tag=NYTBSREV-20,,https://www.nytimes.com/2019/10/10/books/review-me-elton-john-memoir.html,,,,"[{'isbn10': '1250147603', 'isbn13': '9781250147608'}, {'isbn10': '1250147611', 'isbn13': '9781250147615'}, {'isbn10': '1250231051', 'isbn13': '9781250231055'}]","[{'name': 'Amazon', 'url': 'https://www.amazon.com/Me-Elton-John-Official-Autobiography/dp/1250147603?tag=NYTBSREV-20'}, {'name': 'Apple Books', 'url': 'https://goto.applebooks.apple/9781250147608?at=10lIEQ'}, {'name': 'Barnes and Noble', 'url': 'https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9781250147608'}, {'name': 'Books-A-Million', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fp%252FME%252FElton%252BJohn%252F9781250147608&url2=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fsearch%253Fquery%253DME%252BElton%252BJohn'}, {'name': 'Bookshop', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fbookshop.org%2Fa%2F3546%2F9781250147608&url2=https%3A%2F%2Fbookshop.org%2Fbooks%3Faffiliate%3D3546%26keywords%3DME'}, {'name': 'IndieBound', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.indiebound.org%2Fbook%2F9781250147608%3Faff%3DNYT&url2=https%3A%2F%2Fwww.indiebound.org%2Fsearch%2Fbook%3Fkeys%3DME%2BElton%2BJohn%26aff%3DNYT'}]",nyt://book/ebe49014-235b-5234-9e22-379abac7bf4d,2020-01-05
5,4,7,0,0,0525540539,9780525540533,Sentinel,"The ""Fox & Friends” host gives an account of the battle against the Mexican Army in 1836.",0.00,SAM HOUSTON AND THE ALAMO AVENGERS,Brian Kilmeade,by Brian Kilmeade,,https://storage.googleapis.com/du-prd/books/images/9780525540533.jpg,328,495,https://www.amazon.com/Sam-Houston-Alamo-Avengers-American/dp/0525540539?tag=NYTBSREV-20,,,,,,"[{'isbn10': '0525540539', 'isbn13': '9780525540533'}, {'isbn10': '0593152271', 'isbn13': '9780593152270'}]","[{'name': 'Amazon', 'url': 'https://www.amazon.com/Sam-Houston-Alamo-Avengers-American/dp/0525540539?tag=NYTBSREV-20'}, {'name': 'Apple Books', 'url': 'https://goto.applebooks.apple/9780525540533?at=10lIEQ'}, {'name': 'Barnes and Noble', 'url': 'https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9780525540533'}, {'name': 'Books-A-Million', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fp%252FSAM%252BHOUSTON%252BAND%252BTHE%252BALAMO%252BAVENGERS%252FBrian%252BKilmeade%252F9780525540533&url2=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fsearch%253Fquery%253DSAM%252BHOUSTON%252BAND%252BTHE%252BALAMO%252BAVENGERS%252BBrian%252BKilmeade'}, {'name': 'Bookshop', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fbookshop.org%2Fa%2F3546%2F9780525540533&url2=https%3A%2F%2Fbookshop.org%2Fbooks%3Faffiliate%3D3546%26keywords%3DSAM%2BHOUSTON%2BAND%2BTHE%2BALAMO%2BAVENGERS'}, {'name': 'IndieBound', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.indiebound.org%2Fbook%2F9780525540533%3Faff%3DNYT&url2=https%3A%2F%2Fwww.indiebound.org%2Fsearch%2Fbook%3Fkeys%3DSAM%2BHOUSTON%2BAND%2BTHE%2BALAMO%2BAVENGERS%2BBrian%2BKilmeade%26aff%3DNYT'}]",nyt://book/f5b86e00-711b-5f29-8e08-22a25822be9f,2020-01-05
6,11,5,0,0,1538718464,9781538718469,Twelve,A senior official in the Trump administration offers an assessment of the president and makes a moral appeal.,0.00,A WARNING,Anonymous,by Anonymous,,https://storage.googleapis.com/du-prd/books/images/9781538718469.jpg,328,495,https://www.amazon.com/Warning/dp/1538718464?tag=NYTBSREV-20,,https://www.nytimes.com/2019/11/07/books/review/a-warning-anonymous-book-review-trump.html,,,,"[{'isbn10': '1538718464', 'isbn13': '9781538718469'}, {'isbn10': '1538718472', 'isbn13': '9781538718476'}, {'isbn10': '1549185721', 'isbn13': '9781549185724'}, {'isbn10': '1549130382', 'isbn13': '9781549130380'}, {'isbn10': '1538735466', 'isbn13': '9781538735466'}]","[{'name': 'Amazon', 'url': 'https://www.amazon.com/Warning/dp/1538718464?tag=NYTBSREV-20'}, {'name': 'Apple Books', 'url': 'https://goto.applebooks.apple/9781538718469?at=10lIEQ'}, {'name': 'Barnes and Noble', 'url': 'https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9781538718469'}, {'name': 'Books-A-Million', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fp%252FA%252BWARNING%252FAnonymous%252F9781538718469&url2=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fsearch%253Fquery%253DA%252BWARNING%252BAnonymous'}, {'name': 'Bookshop', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fbookshop.org%2Fa%2F3546%2F9781538718469&url2=https%3A%2F%2Fbookshop.org%2Fbooks%3Faffiliate%3D3546%26keywords%3DA%2BWARNING'}, {'name': 'IndieBound', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.indiebound.org%2Fbook%2F9781538718469%3Faff%3DNYT&url2=https%3A%2F%2Fwww.indiebound.org%2Fsearch%2Fbook%3Fkeys%3DA%2BWARNING%2BAnonymous%26aff%3DNYT'}]",nyt://book/d1c6c03d-0179-5601-8d48-6bc61e68c359,2020-01-05
7,7,10,0,0,0385539304,9780385539302,Doubleday,"An owner’s manual of the human body covering various parts, functions and what happens when things go wrong.",0.00,THE BODY,Bill Bryson,by Bill Bryson,,https://storage.googleapis.com/du-prd/books/images/9780385539302.jpg,330,482,https://www.amazon.com/Body-Guide-Occupants-Bill-Bryson/dp/0385539304?tag=NYTBSREV-20,,https://www.nytimes.com/2019/10/15/books/review/the-body-a-guide-for-occupants-bill-bryson.html,,,,"[{'isbn10': '0385539304', 'isbn13': '9780385539302'}, {'isbn10': '0385539312', 'isbn13': '9780385539319'}, {'isbn10': '0147526914', 'isbn13': '9780147526915'}, {'isbn10': '0804172722', 'isbn13': '9780804172721'}]","[{'name': 'Amazon', 'url': 'https://www.amazon.com/Body-Guide-Occupants-Bill-Bryson/dp/0385539304?tag=NYTBSREV-20'}, {'name': 'Apple Books', 'url': 'https://goto.applebooks.apple/9780385539302?at=10lIEQ'}, {'name': 'Barnes and Noble', 'url': 'https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9780385539302'}, {'name': 'Books-A-Million', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fp%252FTHE%252BBODY%252FBill%252BBryson%252F9780385539302&url2=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fsearch%253Fquery%253DTHE%252BBODY%252BBill%252BBryson'}, {'name': 'Bookshop', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fbookshop.org%2Fa%2F3546%2F9780385539302&url2=https%3A%2F%2Fbookshop.org%2Fbooks%3Faffiliate%3D3546%26keywords%3DTHE%2BBODY'}, {'name': 'IndieBound', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.indiebound.org%2Fbook%2F9780385539302%3Faff%3DNYT&url2=https%3A%2F%2Fwww.indiebound.org%2Fsearch%2Fbook%3Fkeys%3DTHE%2BBODY%2BBill%2BBryson%26aff%3DNYT'}]",nyt://book/c8aa4361-42d0-5160-90ae-f02eaa06a4cf,2020-01-05
8,8,7,0,0,1586422383,9781586422387,Steerforth,"A World War II veteran works for a crime boss and comes into contact with the union boss Jimmy Hoffa. The basis of the movie ""The Irishman.""",0.00,I HEARD YOU PAINT HOUSES,Charles Brandt,by Charles Brandt,,https://storage.googleapis.com/du-prd/books/images/9781586422479.jpg,330,495,https://www.amazon.com/Irishman-Movie-Tie-Sheeran-Closing/dp/1586422472?tag=NYTBSREV-20,,,,,,"[{'isbn10': '1586422472', 'isbn13': '9781586422479'}, {'isbn10': '1586422383', 'isbn13': '9781586422387'}, {'isbn10': '1586422464', 'isbn13': '9781586422462'}, {'isbn10': '1586422405', 'isbn13': '9781586422400'}, {'isbn10': '158642257X', 'isbn13': '9781586422578'}]","[{'name': 'Amazon', 'url': 'https://www.amazon.com/Irishman-Movie-Tie-Sheeran-Closing/dp/1586422472?tag=NYTBSREV-20'}, {'name': 'Apple Books', 'url': 'https://goto.applebooks.apple/9781586422387?at=10lIEQ'}, {'name': 'Barnes and Noble', 'url': 'https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9781586422387'}, {'name': 'Books-A-Million', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fp%252FI%252BHEARD%252BYOU%252BPAINT%252BHOUSES%252FCharles%252BBrandt%252F9781586422387&url2=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fsearch%253Fquery%253DI%252BHEARD%252BYOU%252BPAINT%252BHOUSES%252BCharles%252BBrandt'}, {'name': 'Bookshop', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fbookshop.org%2Fa%2F3546%2F9781586422387&url2=https%3A%2F%2Fbookshop.org%2Fbooks%3Faffiliate%3D3546%26keywords%3DI%2BHEARD%2BYOU%2BPAINT%2BHOUSES'}, {'name': 'IndieBound', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.indiebound.org%2Fbook%2F9781586422387%3Faff%3DNYT&url2=https%3A%2F%2Fwww.indiebound.org%2Fsearch%2Fbook%3Fkeys%3DI%2BHEARD%2BYOU%2BPAINT%2BHOUSES%2BCharles%2BBrandt%26aff%3DNYT'}]",nyt://book/a67ae02d-9af2-56b5-9ec3-abe60fd3d9e6,2020-01-05
9,0,2,0,0,1501197622,9781501197628,Simon & Schuster,The humorist spotlights frequently unnoticed aspects of deceased celebrities and historical figures.,0.00,MOBITUARIES,Mo Rocca and Jonathan Greenberg,by Mo Rocca and Jonathan Greenberg,,https://storage.googleapis.com/du-prd/books/images/9781501197628.jpg,330,413,https://www.amazon.com/Mobituaries-Great-Lives-Worth-Reliving/dp/1501197622?tag=NYTBSREV-20,,,,,,"[{'isbn10': '1501197622', 'isbn13': '9781501197628'}, {'isbn10': '1501197649', 'isbn13': '9781501197642'}]","[{'name': 'Amazon', 'url': 'https://www.amazon.com/Mobituaries-Great-Lives-Worth-Reliving/dp/1501197622?tag=NYTBSREV-20'}, {'name': 'Apple Books', 'url': 'https://goto.applebooks.apple/9781501197628?at=10lIEQ'}, {'name': 'Barnes and Noble', 'url': 'https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9781501197628'}, {'name': 'Books-A-Million', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fp%252FMOBITUARIES%252FMo%252BRocca%252Band%252BJonathan%252BGreenberg%252F9781501197628&url2=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fsearch%253Fquery%253DMOBITUARIES%252BMo%252BRocca%252Band%252BJonathan%252BGreenberg'}, {'name': 'Bookshop', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fbookshop.org%2Fa%2F3546%2F9781501197628&url2=https%3A%2F%2Fbookshop.org%2Fbooks%3Faffiliate%3D3546%26keywords%3DMOBITUARIES'}, {'name': 'IndieBound', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.indiebound.org%2Fbook%2F9781501197628%3Faff%3DNYT&url2=https%3A%2F%2Fwww.indiebound.org%2Fsearch%2Fbook%3Fkeys%3DMOBITUARIES%2BMo%2BRocca%2Band%2BJonathan%2BGreenberg%26aff%3DNYT'}]",nyt://book/2fad9a34-9ea2-5980-9276-ca49b28afae8,2020-01-05
10,0,1,0,0,014313356X,9780143133568,Penguin,"Speeches by the Swedish climate activist, including her address to the United Nations.",0.00,NO ONE IS TOO SMALL TO MAKE A DIFFERENCE,Greta Thunberg,by Greta Thunberg,,https://storage.googleapis.com/du-prd/books/images/9780143133568.jpg,304,495,https://www.amazon.com/One-Too-Small-Make-Difference/dp/014313356X?tag=NYTBSREV-20,,,,,,"[{'isbn10': '014313356X', 'isbn13': '9780143133568'}]","[{'name': 'Amazon', 'url': 'https://www.amazon.com/One-Too-Small-Make-Difference/dp/014313356X?tag=NYTBSREV-20'}, {'name': 'Apple Books', 'url': 'https://goto.applebooks.apple/9780143133568?at=10lIEQ'}, {'name': 'Barnes and Noble', 'url': 'https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9780143133568'}, {'name': 'Books-A-Million', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fp%252FNO%252BONE%252BIS%252BTOO%252BSMALL%252BTO%252BMAKE%252BA%252BDIFFERENCE%252FGreta%252BThunberg%252F9780143133568&url2=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fsearch%253Fquery%253DNO%252BONE%252BIS%252BTOO%252BSMALL%252BTO%252BMAKE%252BA%252BDIFFERENCE%252BGreta%252BThunberg'}, {'name': 'Bookshop', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fbookshop.org%2Fa%2F3546%2F9780143133568&url2=https%3A%2F%2Fbookshop.org%2Fbooks%3Faffiliate%3D3546%26keywords%3DNO%2BONE%2BIS%2BTOO%2BSMALL%2BTO%2BMAKE%2BA%2BDIFFERENCE'}, {'name': 'IndieBound', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.indiebound.org%2Fbook%2F9780143133568%3Faff%3DNYT&url2=https%3A%2F%2Fwww.indiebound.org%2Fsearch%2Fbook%3Fkeys%3DNO%2BONE%2BIS%2BTOO%2BSMALL%2BTO%2BMAKE%2BA%2BDIFFERENCE%2BGreta%2BThunberg%26aff%3DNYT'}]",nyt://book/4a3bc271-8979-5215-b50a-9b344a6ecbb8,2020-01-05
