rank,rank_last_week,weeks_on_list,asterisk,dagger,primary_isbn10,primary_isbn13,publisher,description,price,title,author,contributor,contributor_note,book_image,book_image_width,book_image_height,amazon_product_url,age_group,book_review_link,first_chapter_link,sunday_review_link,article_chapter_link,isbns,buy_links,book_uri,published_date
1,1,14,0,0,1627790624,9781627790628,Holt,The host of “The O’Reilly Factor” recounts the final years of World War II.,0.00,KILLING THE RISING SUN,Bill O'Reilly and Martin Dugard,by Bill O'Reilly and Martin Dugard,,https://storage.googleapis.com/du-prd/books/images/9781627790635.jpg,326,495,http://www.amazon.com/Killing-Rising-Sun-America-Vanquished-ebook/dp/B01CNTUGF4?tag=NYTBSREV-20,,,,,,"[{'isbn10': '1627790624', 'isbn13': '9781627790628'}, {'isbn10': '1627790632', 'isbn13': '9781627790635'}, {'isbn10': '1427275866', 'isbn13': '9781427275868'}, {'isbn10': '1410493547', 'isbn13': '9781410493545'}]","[{'name': 'Amazon', 'url': 'http://www.amazon.com/Killing-Rising-Sun-America-Vanquished-ebook/dp/B01CNTUGF4?tag=NYTBSREV-20'}, {'name': 'Apple Books', 'url': 'https://goto.applebooks.apple/9781627790628?at=10lIEQ'}, {'name': 'Barnes and Noble', 'url': 'https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9781627790628'}, {'name': 'Books-A-Million', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fp%252FKILLING%252BTHE%252BRISING%252BSUN%252FBill%252BO%252527Reilly%252Band%252BMartin%252BDugard%252F9781627790628&url2=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fsearch%253Fquery%253DKILLING%252BTHE%252BRISING%252BSUN%252BBill%252BO%252527Reilly%252Band%252BMartin%252BDugard'}, {'name': 'Bookshop', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fbookshop.org%2Fa%2F3546%2F9781627790628&url2=https%3A%2F%2Fbookshop.org%2Fbooks%3Faffiliate%3D3546%26keywords%3DKILLING%2BTHE%2BRISING%2BSUN'}, {'name': 'IndieBound', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.indiebound.org%2Fbook%2F9781627790628%3Faff%3DNYT&url2=https%3A%2F%2Fwww.indiebound.org%2Fsearch%2Fbook%3Fkeys%3DKILLING%2BTHE%2BRISING%2BSUN%2BBill%2BO%2527Reilly%2Band%2BMartin%2BDugard%26aff%3DNYT'}]",nyt://book/37dd4c95-0d26-521b-925d-91fba91a98b2,2017-01-01
2,2,2,0,0,0393254593,9780393254594,Norton,How the psychologists Daniel Kahneman and Amos Tversky upended assumptions about the decision-making process and invented the field of behavioral economics.,0.00,THE UNDOING PROJECT,Michael Lewis,by Michael Lewis,,https://storage.googleapis.com/du-prd/books/images/9780393254600.jpg,323,495,https://www.amazon.com/Undoing-Project-Friendship-Changed-Minds-ebook/dp/B01GI6S7EK?tag=NYTBSREV-20,,,,,,"[{'isbn10': '0393254593', 'isbn13': '9780393254594'}, {'isbn10': '039363437X', 'isbn13': '9780393634372'}, {'isbn10': '0393254607', 'isbn13': '9780393254600'}, {'isbn10': '1410496457', 'isbn13': '9781410496454'}, {'isbn10': '0393354776', 'isbn13': '9780393354775'}]","[{'name': 'Amazon', 'url': 'https://www.amazon.com/Undoing-Project-Friendship-Changed-Minds-ebook/dp/B01GI6S7EK?tag=NYTBSREV-20'}, {'name': 'Apple Books', 'url': 'https://goto.applebooks.apple/9780393254594?at=10lIEQ'}, {'name': 'Barnes and Noble', 'url': 'https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9780393254594'}, {'name': 'Books-A-Million', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fp%252FTHE%252BUNDOING%252BPROJECT%252FMichael%252BLewis%252F9780393254594&url2=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fsearch%253Fquery%253DTHE%252BUNDOING%252BPROJECT%252BMichael%252BLewis'}, {'name': 'Bookshop', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fbookshop.org%2Fa%2F3546%2F9780393254594&url2=https%3A%2F%2Fbookshop.org%2Fbooks%3Faffiliate%3D3546%26keywords%3DTHE%2BUNDOING%2BPROJECT'}, {'name': 'IndieBound', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.indiebound.org%2Fbook%2F9780393254594%3Faff%3DNYT&url2=https%3A%2F%2Fwww.indiebound.org%2Fsearch%2Fbook%3Fkeys%3DTHE%2BUNDOING%2BPROJECT%2BMichael%2BLewis%26aff%3DNYT'}]",nyt://book/5ecd45ad-8552-5f5f-8d7b-6ab0bb3bf624,2017-01-01
3,3,9,0,0,0718079183,9780718079185,W Publishing/Thomas Nelson,The couple who star in the HGTV show “Fixer Upper.”,0.00,THE MAGNOLIA STORY,Chip Gaines and Joanna Gaines with Mark Dagostino,by Chip Gaines and Joanna Gaines with Mark Dagostino,,https://storage.googleapis.com/du-prd/books/images/9780718081539.jpg,330,495,https://www.amazon.com/Magnolia-Story-Bonus-Content-ebook/dp/B01CH2EW20?tag=NYTBSREV-20,,,,,,"[{'isbn10': '0718079183', 'isbn13': '9780718079185'}, {'isbn10': '0718081536', 'isbn13': '9780718081539'}, {'isbn10': '1531833888', 'isbn13': '9781531833886'}, {'isbn10': '1531833896', 'isbn13': '9781531833893'}]","[{'name': 'Amazon', 'url': 'https://www.amazon.com/Magnolia-Story-Bonus-Content-ebook/dp/B01CH2EW20?tag=NYTBSREV-20'}, {'name': 'Apple Books', 'url': 'https://goto.applebooks.apple/9780718079185?at=10lIEQ'}, {'name': 'Barnes and Noble', 'url': 'https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9780718079185'}, {'name': 'Books-A-Million', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fp%252FTHE%252BMAGNOLIA%252BSTORY%252FChip%252BGaines%252Band%252BJoanna%252BGaines%252Bwith%252BMark%252BDagostino%252F9780718079185&url2=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fsearch%253Fquery%253DTHE%252BMAGNOLIA%252BSTORY%252BChip%252BGaines%252Band%252BJoanna%252BGaines%252Bwith%252BMark%252BDagostino'}, {'name': 'Bookshop', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fbookshop.org%2Fa%2F3546%2F9780718079185&url2=https%3A%2F%2Fbookshop.org%2Fbooks%3Faffiliate%3D3546%26keywords%3DTHE%2BMAGNOLIA%2BSTORY'}, {'name': 'IndieBound', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.indiebound.org%2Fbook%2F9780718079185%3Faff%3DNYT&url2=https%3A%2F%2Fwww.indiebound.org%2Fsearch%2Fbook%3Fkeys%3DTHE%2BMAGNOLIA%2BSTORY%2BChip%2BGaines%2Band%2BJoanna%2BGaines%2Bwith%2BMark%2BDagostino%26aff%3DNYT'}]",nyt://book/e521eddb-48b3-5231-b00d-24c1e767a172,2017-01-01
4,4,21,0,0,0062300547,9780062300546,HarperCollins,A Yale Law School graduate looks at the struggles of the white working class through the story of his own childhood in the Rust Belt.,0.00,HILLBILLY ELEGY,J.D. Vance,by J.D. Vance,,https://storage.googleapis.com/du-prd/books/images/9780062300560.jpg,328,495,http://www.amazon.com/Hillbilly-Elegy-Memoir-Family-Culture-ebook/dp/B0166ISAS8?tag=NYTBSREV-20,,,,,,"[{'isbn10': '0062300547', 'isbn13': '9780062300546'}, {'isbn10': '0062300563', 'isbn13': '9780062300560'}, {'isbn10': '141049666X', 'isbn13': '9781410496669'}, {'isbn10': '0062300555', 'isbn13': '9780062300553'}, {'isbn10': '1432840002', 'isbn13': '9781432840006'}, {'isbn10': '0062477528', 'isbn13': '9780062477521'}, {'isbn10': '0062872257', 'isbn13': '9780062872258'}, {'isbn10': '0063045982', 'isbn13': '9780063045989'}, {'isbn10': '1504734335', 'isbn13': '9781504734332'}, {'isbn10': '1504734343', 'isbn13': '9781504734349'}]","[{'name': 'Amazon', 'url': 'http://www.amazon.com/Hillbilly-Elegy-Memoir-Family-Culture-ebook/dp/B0166ISAS8?tag=NYTBSREV-20'}, {'name': 'Apple Books', 'url': 'https://goto.applebooks.apple/9780062300546?at=10lIEQ'}, {'name': 'Barnes and Noble', 'url': 'https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9780062300546'}, {'name': 'Books-A-Million', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fp%252FHILLBILLY%252BELEGY%252FJ.D.%252BVance%252F9780062300546&url2=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fsearch%253Fquery%253DHILLBILLY%252BELEGY%252BJ.D.%252BVance'}, {'name': 'Bookshop', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fbookshop.org%2Fa%2F3546%2F9780062300546&url2=https%3A%2F%2Fbookshop.org%2Fbooks%3Faffiliate%3D3546%26keywords%3DHILLBILLY%2BELEGY'}, {'name': 'IndieBound', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.indiebound.org%2Fbook%2F9780062300546%3Faff%3DNYT&url2=https%3A%2F%2Fwww.indiebound.org%2Fsearch%2Fbook%3Fkeys%3DHILLBILLY%2BELEGY%2BJ.D.%2BVance%26aff%3DNYT'}]",nyt://book/cd518a8a-4ce7-5465-a788-eeeb4244c83d,2017-01-01
5,6,5,0,0,0062494600,9780062494603,Harper/HarperCollins,The anchor of Fox News’s “The Kelly File” discusses the personal and professional challenges she has faced.,0.00,SETTLE FOR MORE,Megyn Kelly,by Megyn Kelly,,https://storage.googleapis.com/du-prd/books/images/9780062494603.jpg,328,495,https://www.amazon.com/Settle-More-Megyn-Kelly/dp/0062494600?tag=NYTBSREV-20,,,,,,"[{'isbn10': '0062494600', 'isbn13': '9780062494603'}, {'isbn10': '0062494597', 'isbn13': '9780062494597'}, {'isbn10': '006256594X', 'isbn13': '9780062565945'}]","[{'name': 'Amazon', 'url': 'https://www.amazon.com/Settle-More-Megyn-Kelly/dp/0062494600?tag=NYTBSREV-20'}, {'name': 'Apple Books', 'url': 'https://goto.applebooks.apple/9780062494603?at=10lIEQ'}, {'name': 'Barnes and Noble', 'url': 'https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9780062494603'}, {'name': 'Books-A-Million', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fp%252FSETTLE%252BFOR%252BMORE%252FMegyn%252BKelly%252F9780062494603&url2=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fsearch%253Fquery%253DSETTLE%252BFOR%252BMORE%252BMegyn%252BKelly'}, {'name': 'Bookshop', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fbookshop.org%2Fa%2F3546%2F9780062494603&url2=https%3A%2F%2Fbookshop.org%2Fbooks%3Faffiliate%3D3546%26keywords%3DSETTLE%2BFOR%2BMORE'}, {'name': 'IndieBound', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.indiebound.org%2Fbook%2F9780062494603%3Faff%3DNYT&url2=https%3A%2F%2Fwww.indiebound.org%2Fsearch%2Fbook%3Fkeys%3DSETTLE%2BFOR%2BMORE%2BMegyn%2BKelly%26aff%3DNYT'}]",nyt://book/17f4c361-855a-5d1b-a51a-8ea6da3ccc1c,2017-01-01
6,5,12,0,0,1501141511,9781501141515,Simon & Schuster,The singer-songwriter's autobiography.,0.00,BORN TO RUN,Bruce Springsteen,by Bruce Springsteen,,https://storage.googleapis.com/du-prd/books/images/9781501141539.jpg,326,495,http://www.amazon.com/Born-Run-Bruce-Springsteen/dp/1501141511?tag=NYTBSREV-20,,https://www.nytimes.com/2016/09/25/books/review/bruce-springsteen-born-to-run-richard-ford.html,,,,"[{'isbn10': '1501141511', 'isbn13': '9781501141515'}, {'isbn10': '1501141538', 'isbn13': '9781501141539'}, {'isbn10': '110197446X', 'isbn13': '9781101974469'}, {'isbn10': '1410493377', 'isbn13': '9781410493378'}, {'isbn10': '1508224226', 'isbn13': '9781508224228'}, {'isbn10': '150114152X', 'isbn13': '9781501141522'}]","[{'name': 'Amazon', 'url': 'http://www.amazon.com/Born-Run-Bruce-Springsteen/dp/1501141511?tag=NYTBSREV-20'}, {'name': 'Apple Books', 'url': 'https://goto.applebooks.apple/9781501141515?at=10lIEQ'}, {'name': 'Barnes and Noble', 'url': 'https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9781501141515'}, {'name': 'Books-A-Million', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fp%252FBORN%252BTO%252BRUN%252FBruce%252BSpringsteen%252F9781501141515&url2=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fsearch%253Fquery%253DBORN%252BTO%252BRUN%252BBruce%252BSpringsteen'}, {'name': 'Bookshop', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fbookshop.org%2Fa%2F3546%2F9781501141515&url2=https%3A%2F%2Fbookshop.org%2Fbooks%3Faffiliate%3D3546%26keywords%3DBORN%2BTO%2BRUN'}, {'name': 'IndieBound', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.indiebound.org%2Fbook%2F9781501141515%3Faff%3DNYT&url2=https%3A%2F%2Fwww.indiebound.org%2Fsearch%2Fbook%3Fkeys%3DBORN%2BTO%2BRUN%2BBruce%2BSpringsteen%26aff%3DNYT'}]",nyt://book/c0c52ac2-9096-50da-b3d5-ac2d9ccd68ac,2017-01-01
7,11,29,0,0,1455539740,9781455539741,Grand Central/Melcher Media,"The libretto of the Grammy-, Tony- and Pulitzer Prize-winning musical, annotated by its creator, along with backstage photos and interviews.",0.00,HAMILTON: THE REVOLUTION,Lin-Manuel Miranda and Jeremy McCarter,by Lin-Manuel Miranda and Jeremy McCarter,,https://storage.googleapis.com/du-prd/books/images/9781455567539.jpg,330,398,http://www.amazon.com/Hamilton-The-Revolution-Lin-Manuel-Miranda-ebook/dp/B015X056G4?tag=NYTBSREV-20,,,,,,"[{'isbn10': '1455539740', 'isbn13': '9781455539741'}, {'isbn10': '1455567531', 'isbn13': '9781455567539'}, {'isbn10': '1478913649', 'isbn13': '9781478913641'}, {'isbn10': '1495069885', 'isbn13': '9781495069888'}]","[{'name': 'Amazon', 'url': 'http://www.amazon.com/Hamilton-The-Revolution-Lin-Manuel-Miranda-ebook/dp/B015X056G4?tag=NYTBSREV-20'}, {'name': 'Apple Books', 'url': 'https://goto.applebooks.apple/9781455539741?at=10lIEQ'}, {'name': 'Barnes and Noble', 'url': 'https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9781455539741'}, {'name': 'Books-A-Million', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fp%252FHAMILTON%25253A%252BTHE%252BREVOLUTION%252FLin-Manuel%252BMiranda%252Band%252BJeremy%252BMcCarter%252F9781455539741&url2=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fsearch%253Fquery%253DHAMILTON%25253A%252BTHE%252BREVOLUTION%252BLin-Manuel%252BMiranda%252Band%252BJeremy%252BMcCarter'}, {'name': 'Bookshop', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fbookshop.org%2Fa%2F3546%2F9781455539741&url2=https%3A%2F%2Fbookshop.org%2Fbooks%3Faffiliate%3D3546%26keywords%3DHAMILTON%253A%2BTHE%2BREVOLUTION'}, {'name': 'IndieBound', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.indiebound.org%2Fbook%2F9781455539741%3Faff%3DNYT&url2=https%3A%2F%2Fwww.indiebound.org%2Fsearch%2Fbook%3Fkeys%3DHAMILTON%253A%2BTHE%2BREVOLUTION%2BLin-Manuel%2BMiranda%2Band%2BJeremy%2BMcCarter%26aff%3DNYT'}]",nyt://book/56194ce1-3f36-5e94-82df-af4b0e208936,2017-01-01
8,13,51,0,0,0143034758,9780143034759,Penguin,A biography of the first Treasury secretary. Originally published in 2004 and the basis of the Broadway musical.,0.00,ALEXANDER HAMILTON,Ron Chernow,by Ron Chernow,,https://storage.googleapis.com/du-prd/books/images/9780143034759.jpg,181,280,http://www.amazon.com/Alexander-Hamilton-Ron-Chernow-ebook/dp/B000QJLQZI?tag=NYTBSREV-20,,https://www.nytimes.com/2004/04/22/books/books-of-the-times-inspired-windbag-who-molded-the-us-government.html,,https://www.nytimes.com/2004/04/25/books/creating-capitalism.html,,"[{'isbn10': '1594200092', 'isbn13': '9781594200090'}, {'isbn10': '0143034758', 'isbn13': '9780143034759'}, {'isbn10': '1524774405', 'isbn13': '9781524774400'}, {'isbn10': '0786553618', 'isbn13': '9780786553617'}, {'isbn10': '1524734500', 'isbn13': '9781524734503'}, {'isbn10': '078655360X', 'isbn13': '9780786553600'}]","[{'name': 'Amazon', 'url': 'http://www.amazon.com/Alexander-Hamilton-Ron-Chernow-ebook/dp/B000QJLQZI?tag=NYTBSREV-20'}, {'name': 'Apple Books', 'url': 'https://goto.applebooks.apple/9780143034759?at=10lIEQ'}, {'name': 'Barnes and Noble', 'url': 'https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9780143034759'}, {'name': 'Books-A-Million', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fp%252FALEXANDER%252BHAMILTON%252FRon%252BChernow%252F9780143034759&url2=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fsearch%253Fquery%253DALEXANDER%252BHAMILTON%252BRon%252BChernow'}, {'name': 'Bookshop', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fbookshop.org%2Fa%2F3546%2F9780143034759&url2=https%3A%2F%2Fbookshop.org%2Fbooks%3Faffiliate%3D3546%26keywords%3DALEXANDER%2BHAMILTON'}, {'name': 'IndieBound', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.indiebound.org%2Fbook%2F9780143034759%3Faff%3DNYT&url2=https%3A%2F%2Fwww.indiebound.org%2Fsearch%2Fbook%3Fkeys%3DALEXANDER%2BHAMILTON%2BRon%2BChernow%26aff%3DNYT'}]",nyt://book/d5e946ad-763a-53de-96eb-ecae43520834,2017-01-01
9,8,3,0,0,0062645358,9780062645357,Morrow,An eyewitness account of Pearl Harbor by a 94-year-old veteran.,0.00,ALL THE GALLANT MEN,Donald Stratton with Ken Gire,by Donald Stratton with Ken Gire,,https://storage.googleapis.com/du-prd/books/images/9780062645357.jpg,330,440,https://www.amazon.com/All-Gallant-Men-American-Firsthand/dp/0062645358?tag=NYTBSREV-20,,,,,,"[{'isbn10': '0062645358', 'isbn13': '9780062645357'}, {'isbn10': '0062645374', 'isbn13': '9780062645371'}]","[{'name': 'Amazon', 'url': 'https://www.amazon.com/All-Gallant-Men-American-Firsthand/dp/0062645358?tag=NYTBSREV-20'}, {'name': 'Apple Books', 'url': 'https://goto.applebooks.apple/9780062645357?at=10lIEQ'}, {'name': 'Barnes and Noble', 'url': 'https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9780062645357'}, {'name': 'Books-A-Million', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fp%252FALL%252BTHE%252BGALLANT%252BMEN%252FDonald%252BStratton%252Bwith%252BKen%252BGire%252F9780062645357&url2=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fsearch%253Fquery%253DALL%252BTHE%252BGALLANT%252BMEN%252BDonald%252BStratton%252Bwith%252BKen%252BGire'}, {'name': 'Bookshop', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fbookshop.org%2Fa%2F3546%2F9780062645357&url2=https%3A%2F%2Fbookshop.org%2Fbooks%3Faffiliate%3D3546%26keywords%3DALL%2BTHE%2BGALLANT%2BMEN'}, {'name': 'IndieBound', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.indiebound.org%2Fbook%2F9780062645357%3Faff%3DNYT&url2=https%3A%2F%2Fwww.indiebound.org%2Fsearch%2Fbook%3Fkeys%3DALL%2BTHE%2BGALLANT%2BMEN%2BDonald%2BStratton%2Bwith%2BKen%2BGire%26aff%3DNYT'}]",nyt://book/aa91c3f4-75b0-5d10-a709-4ca77857112b,2017-01-01
10,7,3,0,0,0425285170,9780425285176,Random House,Essays by the star of “Gilmore Girls” (both the original and the mini-series) and “Parenthood.”,0.00,TALKING AS FAST AS I CAN,Lauren Graham,by Lauren Graham,,https://storage.googleapis.com/du-prd/books/images/9780425285183.jpg,328,495,https://www.amazon.com/Talking-Fast-Can-Gilmore-Everything-ebook/dp/B01G0GD07M?tag=NYTBSREV-20,,,,,,"[{'isbn10': '0425285170', 'isbn13': '9780425285176'}, {'isbn10': '0425285189', 'isbn13': '9780425285183'}]","[{'name': 'Amazon', 'url': 'https://www.amazon.com/Talking-Fast-Can-Gilmore-Everything-ebook/dp/B01G0GD07M?tag=NYTBSREV-20'}, {'name': 'Apple Books', 'url': 'https://goto.applebooks.apple/9780425285176?at=10lIEQ'}, {'name': 'Barnes and Noble', 'url': 'https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9780425285176'}, {'name': 'Books-A-Million', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fp%252FTALKING%252BAS%252BFAST%252BAS%252BI%252BCAN%252FLauren%252BGraham%252F9780425285176&url2=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fsearch%253Fquery%253DTALKING%252BAS%252BFAST%252BAS%252BI%252BCAN%252BLauren%252BGraham'}, {'name': 'Bookshop', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fbookshop.org%2Fa%2F3546%2F9780425285176&url2=https%3A%2F%2Fbookshop.org%2Fbooks%3Faffiliate%3D3546%26keywords%3DTALKING%2BAS%2BFAST%2BAS%2BI%2BCAN'}, {'name': 'IndieBound', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.indiebound.org%2Fbook%2F9780425285176%3Faff%3DNYT&url2=https%3A%2F%2Fwww.indiebound.org%2Fsearch%2Fbook%3Fkeys%3DTALKING%2BAS%2BFAST%2BAS%2BI%2BCAN%2BLauren%2BGraham%26aff%3DNYT'}]",nyt://book/6304bfc4-7ee4-516f-87d0-20511c4c76e6,2017-01-01
