rank,rank_last_week,weeks_on_list,asterisk,dagger,primary_isbn10,primary_isbn13,publisher,description,price,title,author,contributor,contributor_note,book_image,book_image_width,book_image_height,amazon_product_url,age_group,book_review_link,first_chapter_link,sunday_review_link,article_chapter_link,isbns,buy_links,book_uri,published_date
1,2,9,0,0,1451695195,9781451695199,Simon & Schuster,A neurosurgeon recounts his near death experience during a coma from bacterial meningitis.,0.00,PROOF OF HEAVEN,Eben Alexander,by Eben Alexander,,https://storage.googleapis.com/du-prd/books/images/9781451695199.jpg,300,300,http://www.amazon.com/Proof-Heaven-Neurosurgeons-Journey-Afterlife/dp/1451695195?tag=NYTBSREV-20,,,,,,"[{'isbn10': '1451695187', 'isbn13': '9781451695182'}, {'isbn10': '1451695195', 'isbn13': '9781451695199'}, {'isbn10': '1451695209', 'isbn13': '9781451695205'}, {'isbn10': '1476753024', 'isbn13': '9781476753027'}, {'isbn10': '1442359315', 'isbn13': '9781442359314'}, {'isbn10': '1410458806', 'isbn13': '9781410458803'}]","[{'name': 'Amazon', 'url': 'http://www.amazon.com/Proof-Heaven-Neurosurgeons-Journey-Afterlife/dp/1451695195?tag=NYTBSREV-20'}, {'name': 'Apple Books', 'url': 'https://goto.applebooks.apple/9781451695199?at=10lIEQ'}, {'name': 'Barnes and Noble', 'url': 'https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9781451695199'}, {'name': 'Books-A-Million', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fp%252FPROOF%252BOF%252BHEAVEN%252FEben%252BAlexander%252F9781451695199&url2=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fsearch%253Fquery%253DPROOF%252BOF%252BHEAVEN%252BEben%252BAlexander'}, {'name': 'Bookshop', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fbookshop.org%2Fa%2F3546%2F9781451695199&url2=https%3A%2F%2Fbookshop.org%2Fbooks%3Faffiliate%3D3546%26keywords%3DPROOF%2BOF%2BHEAVEN'}, {'name': 'IndieBound', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.indiebound.org%2Fbook%2F9781451695199%3Faff%3DNYT&url2=https%3A%2F%2Fwww.indiebound.org%2Fsearch%2Fbook%3Fkeys%3DPROOF%2BOF%2BHEAVEN%2BEben%2BAlexander%26aff%3DNYT'}]",nyt://book/d316319f-d0cc-5cdb-9e1c-8596a8897b70,2013-01-06
2,1,12,0,0,0805096663,9780805096668,Henry Holt & Company,The host of “The O’Reilly Factor” recounts the events surrounding the assassination of John F. Kennedy.,0.00,KILLING KENNEDY,Bill O'Reilly and Martin Dugard,by Bill O'Reilly and Martin Dugard,,https://storage.googleapis.com/du-prd/books/images/9780805096668.jpg,327,495,http://www.amazon.com/Killing-Kennedy-The-End-Camelot-ebook/dp/B0079886DY?tag=NYTBSREV-20,,,,,,"[{'isbn10': '0805096663', 'isbn13': '9780805096668'}, {'isbn10': '0805096671', 'isbn13': '9780805096675'}, {'isbn10': '1427226849', 'isbn13': '9781427226846'}, {'isbn10': '1410452964', 'isbn13': '9781410452962'}, {'isbn10': '1250092337', 'isbn13': '9781250092335'}]","[{'name': 'Amazon', 'url': 'http://www.amazon.com/Killing-Kennedy-The-End-Camelot-ebook/dp/B0079886DY?tag=NYTBSREV-20'}, {'name': 'Apple Books', 'url': 'https://goto.applebooks.apple/9780805096668?at=10lIEQ'}, {'name': 'Barnes and Noble', 'url': 'https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9780805096668'}, {'name': 'Books-A-Million', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fp%252FKILLING%252BKENNEDY%252FBill%252BO%252527Reilly%252Band%252BMartin%252BDugard%252F9780805096668&url2=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fsearch%253Fquery%253DKILLING%252BKENNEDY%252BBill%252BO%252527Reilly%252Band%252BMartin%252BDugard'}, {'name': 'Bookshop', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fbookshop.org%2Fa%2F3546%2F9780805096668&url2=https%3A%2F%2Fbookshop.org%2Fbooks%3Faffiliate%3D3546%26keywords%3DKILLING%2BKENNEDY'}, {'name': 'IndieBound', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.indiebound.org%2Fbook%2F9780805096668%3Faff%3DNYT&url2=https%3A%2F%2Fwww.indiebound.org%2Fsearch%2Fbook%3Fkeys%3DKILLING%2BKENNEDY%2BBill%2BO%2527Reilly%2Band%2BMartin%2BDugard%26aff%3DNYT'}]",nyt://book/7ae92c92-8710-5418-8d34-8edcebc6fe51,2013-01-06
3,3,6,0,0,1400067669,9781400067664,Random House Publishing,The Pulitzer Prize-winning journalist celebrates Jefferson’s skills as a practical politician.,0.00,THOMAS JEFFERSON,Jon Meacham,by Jon Meacham,,https://storage.googleapis.com/du-prd/books/images/9780679645368.jpg,330,491,http://www.amazon.com/Thomas-Jefferson-The-Art-Power-ebook/dp/B0089EHKE8?tag=NYTBSREV-20,,,,https://www.nytimes.com/2012/11/11/books/review/thomas-jefferson-the-art-of-power-by-jon-meacham.html,,"[{'isbn10': '1400067669', 'isbn13': '9781400067664'}, {'isbn10': '0679645365', 'isbn13': '9780679645368'}, {'isbn10': '0307990877', 'isbn13': '9780307990877'}, {'isbn10': '0739334611', 'isbn13': '9780739334614'}, {'isbn10': '0812979486', 'isbn13': '9780812979480'}]","[{'name': 'Amazon', 'url': 'http://www.amazon.com/Thomas-Jefferson-The-Art-Power-ebook/dp/B0089EHKE8?tag=NYTBSREV-20'}, {'name': 'Apple Books', 'url': 'https://goto.applebooks.apple/9781400067664?at=10lIEQ'}, {'name': 'Barnes and Noble', 'url': 'https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9781400067664'}, {'name': 'Books-A-Million', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fp%252FTHOMAS%252BJEFFERSON%252FJon%252BMeacham%252F9781400067664&url2=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fsearch%253Fquery%253DTHOMAS%252BJEFFERSON%252BJon%252BMeacham'}, {'name': 'Bookshop', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fbookshop.org%2Fa%2F3546%2F9781400067664&url2=https%3A%2F%2Fbookshop.org%2Fbooks%3Faffiliate%3D3546%26keywords%3DTHOMAS%2BJEFFERSON'}, {'name': 'IndieBound', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.indiebound.org%2Fbook%2F9781400067664%3Faff%3DNYT&url2=https%3A%2F%2Fwww.indiebound.org%2Fsearch%2Fbook%3Fkeys%3DTHOMAS%2BJEFFERSON%2BJon%2BMeacham%26aff%3DNYT'}]",nyt://book/f8e36691-5fa9-5f22-9a0b-5245d934023e,2013-01-06
4,4,64,0,0,0805093079,9780805093070,Henry Holt & Company,The host of “The O’Reilly Factor” recounts the assassination of Abraham Lincoln.,0.00,KILLING LINCOLN,Bill O'Reilly and Martin Dugard,by Bill O'Reilly and Martin Dugard,,https://storage.googleapis.com/du-prd/books/images/9780805093070.jpg,324,495,http://www.amazon.com/Killing-Lincoln-Shocking-Assassination-Changed-ebook/dp/B004ULORYU?tag=NYTBSREV-20,,,,,,"[{'isbn10': '0805093079', 'isbn13': '9780805093070'}, {'isbn10': '1429996870', 'isbn13': '9781429996877'}, {'isbn10': '1427213127', 'isbn13': '9781427213129'}, {'isbn10': '1410443000', 'isbn13': '9781410443007'}, {'isbn10': '1250012163', 'isbn13': '9781250012166'}, {'isbn10': '1250105218', 'isbn13': '9781250105219'}]","[{'name': 'Amazon', 'url': 'http://www.amazon.com/Killing-Lincoln-Shocking-Assassination-Changed-ebook/dp/B004ULORYU?tag=NYTBSREV-20'}, {'name': 'Apple Books', 'url': 'https://goto.applebooks.apple/9780805093070?at=10lIEQ'}, {'name': 'Barnes and Noble', 'url': 'https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9780805093070'}, {'name': 'Books-A-Million', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fp%252FKILLING%252BLINCOLN%252FBill%252BO%252527Reilly%252Band%252BMartin%252BDugard%252F9780805093070&url2=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fsearch%253Fquery%253DKILLING%252BLINCOLN%252BBill%252BO%252527Reilly%252Band%252BMartin%252BDugard'}, {'name': 'Bookshop', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fbookshop.org%2Fa%2F3546%2F9780805093070&url2=https%3A%2F%2Fbookshop.org%2Fbooks%3Faffiliate%3D3546%26keywords%3DKILLING%2BLINCOLN'}, {'name': 'IndieBound', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.indiebound.org%2Fbook%2F9780805093070%3Faff%3DNYT&url2=https%3A%2F%2Fwww.indiebound.org%2Fsearch%2Fbook%3Fkeys%3DKILLING%2BLINCOLN%2BBill%2BO%2527Reilly%2Band%2BMartin%2BDugard%26aff%3DNYT'}]",nyt://book/c455371e-e610-58c6-a9b9-db84579a1f9c,2013-01-06
5,5,16,0,0,0525953728,9780525953722,Penguin Group,"An account of the mission that killed Osama bin Laden, by a former member of the Navy SEALs, writing pseudonymously.",0.00,NO EASY DAY,Mark Owen with Kevin Maurer,by Mark Owen with Kevin Maurer,,https://storage.googleapis.com/du-prd/books/images/9781101611302.jpg,330,490,http://www.amazon.com/No-Easy-Day-Firsthand-Account/dp/0451468740?tag=NYTBSREV-20,,https://www.nytimes.com/2012/09/03/books/no-easy-day-by-mark-owen-with-kevin-maurer.html,,https://www.nytimes.com/2012/10/21/books/review/no-easy-day-by-mark-owen.html,,"[{'isbn10': '0525953728', 'isbn13': '9780525953722'}, {'isbn10': '1611761565', 'isbn13': '9781611761566'}, {'isbn10': '0451468740', 'isbn13': '9780451468741'}]","[{'name': 'Amazon', 'url': 'http://www.amazon.com/No-Easy-Day-Firsthand-Account/dp/0451468740?tag=NYTBSREV-20'}, {'name': 'Apple Books', 'url': 'https://goto.applebooks.apple/9780525953722?at=10lIEQ'}, {'name': 'Barnes and Noble', 'url': 'https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9780525953722'}, {'name': 'Books-A-Million', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fp%252FNO%252BEASY%252BDAY%252FMark%252BOwen%252Bwith%252BKevin%252BMaurer%252F9780525953722&url2=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fsearch%253Fquery%253DNO%252BEASY%252BDAY%252BMark%252BOwen%252Bwith%252BKevin%252BMaurer'}, {'name': 'Bookshop', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fbookshop.org%2Fa%2F3546%2F9780525953722&url2=https%3A%2F%2Fbookshop.org%2Fbooks%3Faffiliate%3D3546%26keywords%3DNO%2BEASY%2BDAY'}, {'name': 'IndieBound', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.indiebound.org%2Fbook%2F9780525953722%3Faff%3DNYT&url2=https%3A%2F%2Fwww.indiebound.org%2Fsearch%2Fbook%3Fkeys%3DNO%2BEASY%2BDAY%2BMark%2BOwen%2Bwith%2BKevin%2BMaurer%26aff%3DNYT'}]",nyt://book/17dd4d9e-d0c7-5a0d-bc02-d01c20b5aa9f,2013-01-06
6,6,7,0,0,0743270754,9780743270755,Simon & Schuster,"The political genius of Abraham Lincoln, revealed in his relationship with his cabinet; originally published in 2005.",0.00,TEAM OF RIVALS,Doris Kearns Goodwin,by Doris Kearns Goodwin,,https://storage.googleapis.com/du-prd/books/images/9780743270755.jpg,119,180,http://www.amazon.com/Team-Rivals-Political-Abraham-Lincoln/dp/0743270754?tag=NYTBSREV-20,,https://www.nytimes.com/2005/10/25/books/25kaku.html,,https://www.nytimes.com/2005/11/06/books/review/06mcpherson.html,,"[{'isbn10': '0743270754', 'isbn13': '9780743270755'}, {'isbn10': '1451688091', 'isbn13': '9781451688092'}, {'isbn10': '0684824906', 'isbn13': '9780684824901'}, {'isbn10': '1416549838', 'isbn13': '9781416549833'}]","[{'name': 'Amazon', 'url': 'http://www.amazon.com/Team-Rivals-Political-Abraham-Lincoln/dp/0743270754?tag=NYTBSREV-20'}, {'name': 'Apple Books', 'url': 'https://goto.applebooks.apple/9780743270755?at=10lIEQ'}, {'name': 'Barnes and Noble', 'url': 'https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9780743270755'}, {'name': 'Books-A-Million', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fp%252FTEAM%252BOF%252BRIVALS%252FDoris%252BKearns%252BGoodwin%252F9780743270755&url2=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fsearch%253Fquery%253DTEAM%252BOF%252BRIVALS%252BDoris%252BKearns%252BGoodwin'}, {'name': 'Bookshop', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fbookshop.org%2Fa%2F3546%2F9780743270755&url2=https%3A%2F%2Fbookshop.org%2Fbooks%3Faffiliate%3D3546%26keywords%3DTEAM%2BOF%2BRIVALS'}, {'name': 'IndieBound', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.indiebound.org%2Fbook%2F9780743270755%3Faff%3DNYT&url2=https%3A%2F%2Fwww.indiebound.org%2Fsearch%2Fbook%3Fkeys%3DTEAM%2BOF%2BRIVALS%2BDoris%2BKearns%2BGoodwin%26aff%3DNYT'}]",nyt://book/34ab0960-e9b3-573f-abc3-c3656c6ca380,2013-01-06
7,7,7,0,0,0446583979,9780446583978,Grand Central Publishing,The mock pundit of Comedy Central’s “Colbert Report” tells how to bring America back from the brink.,0.00,AMERICA AGAIN,Stephen Colbert and others,by Stephen Colbert and others,,https://storage.googleapis.com/du-prd/books/images/9780446583978.jpg,128,167,http://www.amazon.com/America-Again-Re-becoming-Greatness-Werent/dp/0446583979?tag=NYTBSREV-20,,,,,,"[{'isbn10': '0446583979', 'isbn13': '9780446583978'}, {'isbn10': '0446583987', 'isbn13': '9780446583985'}, {'isbn10': '1607889706', 'isbn13': '9781607889700'}, {'isbn10': '0446583995', 'isbn13': '9780446583992'}]","[{'name': 'Amazon', 'url': 'http://www.amazon.com/America-Again-Re-becoming-Greatness-Werent/dp/0446583979?tag=NYTBSREV-20'}, {'name': 'Apple Books', 'url': 'https://goto.applebooks.apple/9780446583978?at=10lIEQ'}, {'name': 'Barnes and Noble', 'url': 'https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9780446583978'}, {'name': 'Books-A-Million', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fp%252FAMERICA%252BAGAIN%252FStephen%252BColbert%252Band%252Bothers%252F9780446583978&url2=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fsearch%253Fquery%253DAMERICA%252BAGAIN%252BStephen%252BColbert%252Band%252Bothers'}, {'name': 'Bookshop', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fbookshop.org%2Fa%2F3546%2F9780446583978&url2=https%3A%2F%2Fbookshop.org%2Fbooks%3Faffiliate%3D3546%26keywords%3DAMERICA%2BAGAIN'}, {'name': 'IndieBound', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.indiebound.org%2Fbook%2F9780446583978%3Faff%3DNYT&url2=https%3A%2F%2Fwww.indiebound.org%2Fsearch%2Fbook%3Fkeys%3DAMERICA%2BAGAIN%2BStephen%2BColbert%2Band%2Bothers%26aff%3DNYT'}]",nyt://book/d74b56e8-3a52-594e-8c1c-85024263ab39,2013-01-06
8,9,100,0,0,1400064163,9781400064168,Random House Publishing,An Olympic runner’s story of survival as a prisoner of the Japanese in World War II.,0.00,UNBROKEN,Laura Hillenbrand,by Laura Hillenbrand,,https://storage.googleapis.com/du-prd/books/images/9781400064168.jpg,264,400,http://www.amazon.com/Unbroken-World-Survival-Resilience-Redemption/dp/1400064163?tag=NYTBSREV-20,,https://www.nytimes.com/2010/11/15/books/15book.html,,https://www.nytimes.com/2010/11/21/books/review/Margolick-t.html,,"[{'isbn10': '1400064163', 'isbn13': '9781400064168'}, {'isbn10': '0679603751', 'isbn13': '9780679603757'}, {'isbn10': '0375435018', 'isbn13': '9780375435010'}, {'isbn10': '0739319698', 'isbn13': '9780739319697'}, {'isbn10': '0007378033', 'isbn13': '9780007378036'}, {'isbn10': '0812974492', 'isbn13': '9780812974492'}, {'isbn10': '0606355987', 'isbn13': '9780606355988'}, {'isbn10': '081298711X', 'isbn13': '9780812987119'}, {'isbn10': '0553397117', 'isbn13': '9780553397116'}, {'isbn10': '1101912626', 'isbn13': '9781101912621'}, {'isbn10': '1984818449', 'isbn13': '9781984818447'}, {'isbn10': '1984837621', 'isbn13': '9781984837622'}]","[{'name': 'Amazon', 'url': 'http://www.amazon.com/Unbroken-World-Survival-Resilience-Redemption/dp/1400064163?tag=NYTBSREV-20'}, {'name': 'Apple Books', 'url': 'https://goto.applebooks.apple/9781400064168?at=10lIEQ'}, {'name': 'Barnes and Noble', 'url': 'https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9781400064168'}, {'name': 'Books-A-Million', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fp%252FUNBROKEN%252FLaura%252BHillenbrand%252F9781400064168&url2=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fsearch%253Fquery%253DUNBROKEN%252BLaura%252BHillenbrand'}, {'name': 'Bookshop', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fbookshop.org%2Fa%2F3546%2F9781400064168&url2=https%3A%2F%2Fbookshop.org%2Fbooks%3Faffiliate%3D3546%26keywords%3DUNBROKEN'}, {'name': 'IndieBound', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.indiebound.org%2Fbook%2F9781400064168%3Faff%3DNYT&url2=https%3A%2F%2Fwww.indiebound.org%2Fsearch%2Fbook%3Fkeys%3DUNBROKEN%2BLaura%2BHillenbrand%26aff%3DNYT'}]",nyt://book/cb5078c9-c6dd-522d-825d-fb1da01fe87b,2013-01-06
9,8,11,0,0,159420411X,9781594204111,Penguin Group,"An examination of predictions, the ones that come true and the ones that don’t.",0.00,THE SIGNAL AND THE NOISE,Nate Silver,by Nate Silver,,https://storage.googleapis.com/du-prd/books/images/9781594204111.jpg,265,400,http://www.amazon.com/The-Signal-Noise-Predictions-Fail-but-ebook/dp/B007V65R54?tag=NYTBSREV-20,,https://www.nytimes.com/2012/10/24/books/nate-silvers-signal-and-the-noise-examines-predictions.html,,https://www.nytimes.com/2012/11/04/books/review/the-signal-and-the-noise-by-nate-silver.html,,"[{'isbn10': '159420411X', 'isbn13': '9781594204111'}, {'isbn10': '0143125087', 'isbn13': '9780143125082'}]","[{'name': 'Amazon', 'url': 'http://www.amazon.com/The-Signal-Noise-Predictions-Fail-but-ebook/dp/B007V65R54?tag=NYTBSREV-20'}, {'name': 'Apple Books', 'url': 'https://goto.applebooks.apple/9781594204111?at=10lIEQ'}, {'name': 'Barnes and Noble', 'url': 'https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9781594204111'}, {'name': 'Books-A-Million', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fp%252FTHE%252BSIGNAL%252BAND%252BTHE%252BNOISE%252FNate%252BSilver%252F9781594204111&url2=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fsearch%253Fquery%253DTHE%252BSIGNAL%252BAND%252BTHE%252BNOISE%252BNate%252BSilver'}, {'name': 'Bookshop', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fbookshop.org%2Fa%2F3546%2F9781594204111&url2=https%3A%2F%2Fbookshop.org%2Fbooks%3Faffiliate%3D3546%26keywords%3DTHE%2BSIGNAL%2BAND%2BTHE%2BNOISE'}, {'name': 'IndieBound', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.indiebound.org%2Fbook%2F9781594204111%3Faff%3DNYT&url2=https%3A%2F%2Fwww.indiebound.org%2Fsearch%2Fbook%3Fkeys%3DTHE%2BSIGNAL%2BAND%2BTHE%2BNOISE%2BNate%2BSilver%26aff%3DNYT'}]",nyt://book/17d75a3b-dd36-56a2-ac73-7c3b74c97b5e,2013-01-06
10,0,91,0,0,0849946158,9780849946158,Thomas Nelson,A father recounts his 3-year-old son’s encounter with Jesus and the angels during an appendectomy.,0.00,HEAVEN IS FOR REAL,Todd Burpo with Lynn Vincent,by Todd Burpo with Lynn Vincent,,https://storage.googleapis.com/du-prd/books/images/9780849949203.jpg,309,495,http://www.amazon.com/Heaven-Real-Little-Astounding-Story-ebook/dp/B004A90BXS?tag=NYTBSREV-20,,https://www.nytimes.com/2011/03/12/books/heaven-is-for-real-is-publishing-phenomenon.html,,,,"[{'isbn10': '0849946158', 'isbn13': '9780849946158'}, {'isbn10': '0849948363', 'isbn13': '9780849948367'}, {'isbn10': '0849922070', 'isbn13': '9780849922077'}]","[{'name': 'Amazon', 'url': 'http://www.amazon.com/Heaven-Real-Little-Astounding-Story-ebook/dp/B004A90BXS?tag=NYTBSREV-20'}, {'name': 'Apple Books', 'url': 'https://goto.applebooks.apple/9780849946158?at=10lIEQ'}, {'name': 'Barnes and Noble', 'url': 'https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9780849946158'}, {'name': 'Books-A-Million', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fp%252FHEAVEN%252BIS%252BFOR%252BREAL%252FTodd%252BBurpo%252Bwith%252BLynn%252BVincent%252F9780849946158&url2=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fsearch%253Fquery%253DHEAVEN%252BIS%252BFOR%252BREAL%252BTodd%252BBurpo%252Bwith%252BLynn%252BVincent'}, {'name': 'Bookshop', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fbookshop.org%2Fa%2F3546%2F9780849946158&url2=https%3A%2F%2Fbookshop.org%2Fbooks%3Faffiliate%3D3546%26keywords%3DHEAVEN%2BIS%2BFOR%2BREAL'}, {'name': 'IndieBound', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.indiebound.org%2Fbook%2F9780849946158%3Faff%3DNYT&url2=https%3A%2F%2Fwww.indiebound.org%2Fsearch%2Fbook%3Fkeys%3DHEAVEN%2BIS%2BFOR%2BREAL%2BTodd%2BBurpo%2Bwith%2BLynn%2BVincent%26aff%3DNYT'}]",nyt://book/8eea17d5-d79d-51e5-9f7f-8654146058cb,2013-01-06
