rank,rank_last_week,weeks_on_list,asterisk,dagger,primary_isbn10,primary_isbn13,publisher,description,price,title,author,contributor,contributor_note,book_image,book_image_width,book_image_height,amazon_product_url,age_group,book_review_link,first_chapter_link,sunday_review_link,article_chapter_link,isbns,buy_links,book_uri,published_date
1,1,6,0,0,1524763136,9781524763138,Crown,"The former first lady describes her journey from the South Side of Chicago to the White House, and how she balanced work, family and her husband’s political ascent.",0.00,BECOMING,Michelle Obama,by Michelle Obama,,https://storage.googleapis.com/du-prd/books/images/9781524763138.jpg,326,495,https://www.amazon.com/Becoming-Michelle-Obama/dp/1524763136?tag=NYTBSREV-20,,https://www.nytimes.com/2018/12/06/books/review/michelle-obama-becoming-memoir.html,,,,"[{'isbn10': '1524763136', 'isbn13': '9781524763138'}, {'isbn10': '0525633677', 'isbn13': '9780525633679'}, {'isbn10': '1524763144', 'isbn13': '9781524763145'}]","[{'name': 'Amazon', 'url': 'https://www.amazon.com/Becoming-Michelle-Obama/dp/1524763136?tag=NYTBSREV-20'}, {'name': 'Apple Books', 'url': 'https://goto.applebooks.apple/9781524763138?at=10lIEQ'}, {'name': 'Barnes and Noble', 'url': 'https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9781524763138'}, {'name': 'Books-A-Million', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fp%252FBECOMING%252FMichelle%252BObama%252F9781524763138&url2=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fsearch%253Fquery%253DBECOMING%252BMichelle%252BObama'}, {'name': 'Bookshop', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fbookshop.org%2Fa%2F3546%2F9781524763138&url2=https%3A%2F%2Fbookshop.org%2Fbooks%3Faffiliate%3D3546%26keywords%3DBECOMING'}, {'name': 'IndieBound', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.indiebound.org%2Fbook%2F9781524763138%3Faff%3DNYT&url2=https%3A%2F%2Fwww.indiebound.org%2Fsearch%2Fbook%3Fkeys%3DBECOMING%2BMichelle%2BObama%26aff%3DNYT'}]",nyt://book/2892bc2e-4ad3-5e0a-bc6e-d2cd983c3c52,2019-01-06
2,2,3,0,0,1984825488,9781984825483,Crown Forum,"A collection of essays, speeches and unpublished writings by the late conservative columnist.",0.00,THE POINT OF IT ALL,"Charles Krauthammer,","by Charles Krauthammer, edited by Daniel Krauthammer",edited by Daniel Krauthammer,https://storage.googleapis.com/du-prd/books/images/9781984825483.jpg,326,495,https://www.amazon.com/Point-All-Lifetime-Great-Endeavors/dp/1984825488?tag=NYTBSREV-20,,,,,,"[{'isbn10': '1984825488', 'isbn13': '9781984825483'}, {'isbn10': '1984825496', 'isbn13': '9781984825490'}, {'isbn10': '1984891596', 'isbn13': '9781984891594'}]","[{'name': 'Amazon', 'url': 'https://www.amazon.com/Point-All-Lifetime-Great-Endeavors/dp/1984825488?tag=NYTBSREV-20'}, {'name': 'Apple Books', 'url': 'https://goto.applebooks.apple/9781984825483?at=10lIEQ'}, {'name': 'Barnes and Noble', 'url': 'https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9781984825483'}, {'name': 'Books-A-Million', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fp%252FTHE%252BPOINT%252BOF%252BIT%252BALL%252FCharles%252BKrauthammer%25252C%252F9781984825483&url2=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fsearch%253Fquery%253DTHE%252BPOINT%252BOF%252BIT%252BALL%252BCharles%252BKrauthammer%25252C'}, {'name': 'Bookshop', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fbookshop.org%2Fa%2F3546%2F9781984825483&url2=https%3A%2F%2Fbookshop.org%2Fbooks%3Faffiliate%3D3546%26keywords%3DTHE%2BPOINT%2BOF%2BIT%2BALL'}, {'name': 'IndieBound', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.indiebound.org%2Fbook%2F9781984825483%3Faff%3DNYT&url2=https%3A%2F%2Fwww.indiebound.org%2Fsearch%2Fbook%3Fkeys%3DTHE%2BPOINT%2BOF%2BIT%2BALL%2BCharles%2BKrauthammer%252C%26aff%3DNYT'}]",nyt://book/ec7a7052-4f4a-5f54-b17a-bf580d8fc4f7,2019-01-06
3,3,44,0,0,0399590501,9780399590504,Random House,"The daughter of survivalists, who is kept out of school, educates herself enough to leave home for university.",0.00,EDUCATED,Tara Westover,by Tara Westover,,https://storage.googleapis.com/du-prd/books/images/9780399590504.jpg,328,495,https://www.amazon.com/Educated-Memoir-Tara-Westover/dp/0399590501?tag=NYTBSREV-20,,https://www.nytimes.com/2018/03/01/books/review/tara-westover-educated.html,,,,"[{'isbn10': '0399590501', 'isbn13': '9780399590504'}, {'isbn10': '039959051X', 'isbn13': '9780399590511'}, {'isbn10': '0525589988', 'isbn13': '9780525589983'}, {'isbn10': '0525528059', 'isbn13': '9780525528050'}, {'isbn10': '0399590528', 'isbn13': '9780399590528'}]","[{'name': 'Amazon', 'url': 'https://www.amazon.com/Educated-Memoir-Tara-Westover/dp/0399590501?tag=NYTBSREV-20'}, {'name': 'Apple Books', 'url': 'https://goto.applebooks.apple/9780399590504?at=10lIEQ'}, {'name': 'Barnes and Noble', 'url': 'https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9780399590504'}, {'name': 'Books-A-Million', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fp%252FEDUCATED%252FTara%252BWestover%252F9780399590504&url2=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fsearch%253Fquery%253DEDUCATED%252BTara%252BWestover'}, {'name': 'Bookshop', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fbookshop.org%2Fa%2F3546%2F9780399590504&url2=https%3A%2F%2Fbookshop.org%2Fbooks%3Faffiliate%3D3546%26keywords%3DEDUCATED'}, {'name': 'IndieBound', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.indiebound.org%2Fbook%2F9780399590504%3Faff%3DNYT&url2=https%3A%2F%2Fwww.indiebound.org%2Fsearch%2Fbook%3Fkeys%3DEDUCATED%2BTara%2BWestover%26aff%3DNYT'}]",nyt://book/08c80da5-f436-5afd-b925-42fe6f0c28cc,2019-01-06
4,4,11,0,0,1250165547,9781250165541,Holt,A look at the postwar manhunt for members of Hitler’s inner circle.,0.00,KILLING THE SS,Bill O'Reilly and Martin Dugard,by Bill O'Reilly and Martin Dugard,,https://storage.googleapis.com/du-prd/books/images/9781250165541.jpg,327,495,https://www.amazon.com/Killing-SS-Criminals-History-OReillys/dp/1250165547?tag=NYTBSREV-20,,,,,,"[{'isbn10': '1250165547', 'isbn13': '9781250165541'}, {'isbn10': '1250165555', 'isbn13': '9781250165558'}, {'isbn10': '1427299064', 'isbn13': '9781427299062'}, {'isbn10': '1432856073', 'isbn13': '9781432856076'}]","[{'name': 'Amazon', 'url': 'https://www.amazon.com/Killing-SS-Criminals-History-OReillys/dp/1250165547?tag=NYTBSREV-20'}, {'name': 'Apple Books', 'url': 'https://goto.applebooks.apple/9781250165541?at=10lIEQ'}, {'name': 'Barnes and Noble', 'url': 'https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9781250165541'}, {'name': 'Books-A-Million', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fp%252FKILLING%252BTHE%252BSS%252FBill%252BO%252527Reilly%252Band%252BMartin%252BDugard%252F9781250165541&url2=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fsearch%253Fquery%253DKILLING%252BTHE%252BSS%252BBill%252BO%252527Reilly%252Band%252BMartin%252BDugard'}, {'name': 'Bookshop', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fbookshop.org%2Fa%2F3546%2F9781250165541&url2=https%3A%2F%2Fbookshop.org%2Fbooks%3Faffiliate%3D3546%26keywords%3DKILLING%2BTHE%2BSS'}, {'name': 'IndieBound', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.indiebound.org%2Fbook%2F9781250165541%3Faff%3DNYT&url2=https%3A%2F%2Fwww.indiebound.org%2Fsearch%2Fbook%3Fkeys%3DKILLING%2BTHE%2BSS%2BBill%2BO%2527Reilly%2Band%2BMartin%2BDugard%26aff%3DNYT'}]",nyt://book/b4873e69-05ab-542a-9ceb-e85e7501770c,2019-01-06
5,7,52,0,0,0062316117,9780062316110,Harper,How Homo sapiens became Earth’s dominant species.,0.00,SAPIENS,Yuval Noah Harari,by Yuval Noah Harari,,https://storage.googleapis.com/du-prd/books/images/9780062316097.jpg,128,192,http://www.amazon.com/Sapiens-A-Brief-History-Humankind-ebook/dp/B00ICN066A?tag=NYTBSREV-20,,,,,,"[{'isbn10': '0062316095', 'isbn13': '9780062316097'}, {'isbn10': '0062316109', 'isbn13': '9780062316103'}, {'isbn10': '0062796232', 'isbn13': '9780062796233'}, {'isbn10': '1494576902', 'isbn13': '9781494576905'}, {'isbn10': '0062316117', 'isbn13': '9780062316110'}, {'isbn10': '1494506904', 'isbn13': '9781494506902'}, {'isbn10': '1494556901', 'isbn13': '9781494556907'}, {'isbn10': '1473523788', 'isbn13': '9781473523784'}, {'isbn10': '1538456583', 'isbn13': '9781538456583'}, {'isbn10': '1538456605', 'isbn13': '9781538456606'}, {'isbn10': '1538456591', 'isbn13': '9781538456590'}]","[{'name': 'Amazon', 'url': 'http://www.amazon.com/Sapiens-A-Brief-History-Humankind-ebook/dp/B00ICN066A?tag=NYTBSREV-20'}, {'name': 'Apple Books', 'url': 'https://goto.applebooks.apple/9780062316110?at=10lIEQ'}, {'name': 'Barnes and Noble', 'url': 'https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9780062316110'}, {'name': 'Books-A-Million', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fp%252FSAPIENS%252FYuval%252BNoah%252BHarari%252F9780062316110&url2=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fsearch%253Fquery%253DSAPIENS%252BYuval%252BNoah%252BHarari'}, {'name': 'Bookshop', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fbookshop.org%2Fa%2F3546%2F9780062316110&url2=https%3A%2F%2Fbookshop.org%2Fbooks%3Faffiliate%3D3546%26keywords%3DSAPIENS'}, {'name': 'IndieBound', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.indiebound.org%2Fbook%2F9780062316110%3Faff%3DNYT&url2=https%3A%2F%2Fwww.indiebound.org%2Fsearch%2Fbook%3Fkeys%3DSAPIENS%2BYuval%2BNoah%2BHarari%26aff%3DNYT'}]",nyt://book/8396e181-cd69-5074-a009-ec8f051c54f2,2019-01-06
6,9,8,0,0,0316421820,9780316421829,"Little, Brown","The former White House photographer juxtaposes pictures of former President Obama with tweets, headlines and quotes from the Trump administration.",0.00,SHADE,Pete Souza,by Pete Souza,,https://storage.googleapis.com/du-prd/books/images/9780316421829.jpg,330,444,https://www.amazon.com/Shade-Tale-Presidents-Pete-Souza/dp/0316421820?tag=NYTBSREV-20,,,,,,"[{'isbn10': '0316421820', 'isbn13': '9780316421829'}, {'isbn10': '0316421839', 'isbn13': '9780316421836'}, {'isbn10': '0316455040', 'isbn13': '9780316455046'}, {'isbn10': '031645821X', 'isbn13': '9780316458214'}, {'isbn10': '0316490377', 'isbn13': '9780316490375'}]","[{'name': 'Amazon', 'url': 'https://www.amazon.com/Shade-Tale-Presidents-Pete-Souza/dp/0316421820?tag=NYTBSREV-20'}, {'name': 'Apple Books', 'url': 'https://goto.applebooks.apple/9780316421829?at=10lIEQ'}, {'name': 'Barnes and Noble', 'url': 'https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9780316421829'}, {'name': 'Books-A-Million', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fp%252FSHADE%252FPete%252BSouza%252F9780316421829&url2=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fsearch%253Fquery%253DSHADE%252BPete%252BSouza'}, {'name': 'Bookshop', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fbookshop.org%2Fa%2F3546%2F9780316421829&url2=https%3A%2F%2Fbookshop.org%2Fbooks%3Faffiliate%3D3546%26keywords%3DSHADE'}, {'name': 'IndieBound', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.indiebound.org%2Fbook%2F9780316421829%3Faff%3DNYT&url2=https%3A%2F%2Fwww.indiebound.org%2Fsearch%2Fbook%3Fkeys%3DSHADE%2BPete%2BSouza%26aff%3DNYT'}]",nyt://book/ce91afe6-892e-59ca-bcb2-fde5128cb44e,2019-01-06
7,5,14,0,0,1476795924,9781476795928,Simon & Schuster,"The challenges that shaped the leadership abilities of four presidents: Abraham Lincoln, Theodore Roosevelt, Franklin D. Roosevelt and Lyndon B. Johnson.",0.00,LEADERSHIP,Doris Kearns Goodwin,by Doris Kearns Goodwin,,https://storage.googleapis.com/du-prd/books/images/9781476795928.jpg,326,495,https://www.amazon.com/Leadership-Turbulent-Doris-Kearns-Goodwin/dp/1476795924?tag=NYTBSREV-20,,https://www.nytimes.com/2018/09/14/books/review/doris-kearns-goodwin-leadership.html,,,,"[{'isbn10': '1476795924', 'isbn13': '9781476795928'}, {'isbn10': '1476795940', 'isbn13': '9781476795942'}, {'isbn10': '1432853821', 'isbn13': '9781432853822'}, {'isbn10': '1476795932', 'isbn13': '9781476795935'}, {'isbn10': '1432869213', 'isbn13': '9781432869212'}]","[{'name': 'Amazon', 'url': 'https://www.amazon.com/Leadership-Turbulent-Doris-Kearns-Goodwin/dp/1476795924?tag=NYTBSREV-20'}, {'name': 'Apple Books', 'url': 'https://goto.applebooks.apple/9781476795928?at=10lIEQ'}, {'name': 'Barnes and Noble', 'url': 'https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9781476795928'}, {'name': 'Books-A-Million', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fp%252FLEADERSHIP%252FDoris%252BKearns%252BGoodwin%252F9781476795928&url2=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fsearch%253Fquery%253DLEADERSHIP%252BDoris%252BKearns%252BGoodwin'}, {'name': 'Bookshop', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fbookshop.org%2Fa%2F3546%2F9781476795928&url2=https%3A%2F%2Fbookshop.org%2Fbooks%3Faffiliate%3D3546%26keywords%3DLEADERSHIP'}, {'name': 'IndieBound', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.indiebound.org%2Fbook%2F9781476795928%3Faff%3DNYT&url2=https%3A%2F%2Fwww.indiebound.org%2Fsearch%2Fbook%3Fkeys%3DLEADERSHIP%2BDoris%2BKearns%2BGoodwin%26aff%3DNYT'}]",nyt://book/b333282f-7060-56c3-9dcd-1761824eced3,2019-01-06
8,12,3,0,0,1101980990,9781101980996,Viking,A biography focusing on what motivated the war leader and how he learned from his mistakes.,0.00,CHURCHILL: WALKING WITH DESTINY,Andrew Roberts,by Andrew Roberts,,https://storage.googleapis.com/du-prd/books/images/9781101980996.jpg,326,495,https://www.amazon.com/Churchill-Walking-Destiny-Andrew-Roberts/dp/1101980990?tag=NYTBSREV-20,,https://www.nytimes.com/2018/11/13/books/review/andrew-roberts-churchill-winston-biography.html,,,,"[{'isbn10': '1101980990', 'isbn13': '9781101980996'}, {'isbn10': '1101981016', 'isbn13': '9781101981016'}]","[{'name': 'Amazon', 'url': 'https://www.amazon.com/Churchill-Walking-Destiny-Andrew-Roberts/dp/1101980990?tag=NYTBSREV-20'}, {'name': 'Apple Books', 'url': 'https://goto.applebooks.apple/9781101980996?at=10lIEQ'}, {'name': 'Barnes and Noble', 'url': 'https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9781101980996'}, {'name': 'Books-A-Million', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fp%252FCHURCHILL%25253A%252BWALKING%252BWITH%252BDESTINY%252FAndrew%252BRoberts%252F9781101980996&url2=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fsearch%253Fquery%253DCHURCHILL%25253A%252BWALKING%252BWITH%252BDESTINY%252BAndrew%252BRoberts'}, {'name': 'Bookshop', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fbookshop.org%2Fa%2F3546%2F9781101980996&url2=https%3A%2F%2Fbookshop.org%2Fbooks%3Faffiliate%3D3546%26keywords%3DCHURCHILL%253A%2BWALKING%2BWITH%2BDESTINY'}, {'name': 'IndieBound', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.indiebound.org%2Fbook%2F9781101980996%3Faff%3DNYT&url2=https%3A%2F%2Fwww.indiebound.org%2Fsearch%2Fbook%3Fkeys%3DCHURCHILL%253A%2BWALKING%2BWITH%2BDESTINY%2BAndrew%2BRoberts%26aff%3DNYT'}]",nyt://book/712d5ff4-8647-5b4c-9a13-698369d68a72,2019-01-06
9,8,10,0,0,1984819194,9781984819192,Bantam,A collection of essays from the late scientist’s personal archive that address 10 imponderables.,0.00,BRIEF ANSWERS TO THE BIG QUESTIONS,Stephen Hawking,by Stephen Hawking,,https://storage.googleapis.com/du-prd/books/images/9781984819192.jpg,330,467,https://www.amazon.com/Brief-Answers-Questions-Stephen-Hawking/dp/1984819194?tag=NYTBSREV-20,,,,,,"[{'isbn10': '1984819194', 'isbn13': '9781984819192'}, {'isbn10': '1984819208', 'isbn13': '9781984819208'}, {'isbn10': '1984887262', 'isbn13': '9781984887269'}]","[{'name': 'Amazon', 'url': 'https://www.amazon.com/Brief-Answers-Questions-Stephen-Hawking/dp/1984819194?tag=NYTBSREV-20'}, {'name': 'Apple Books', 'url': 'https://goto.applebooks.apple/9781984819192?at=10lIEQ'}, {'name': 'Barnes and Noble', 'url': 'https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9781984819192'}, {'name': 'Books-A-Million', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fp%252FBRIEF%252BANSWERS%252BTO%252BTHE%252BBIG%252BQUESTIONS%252FStephen%252BHawking%252F9781984819192&url2=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fsearch%253Fquery%253DBRIEF%252BANSWERS%252BTO%252BTHE%252BBIG%252BQUESTIONS%252BStephen%252BHawking'}, {'name': 'Bookshop', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fbookshop.org%2Fa%2F3546%2F9781984819192&url2=https%3A%2F%2Fbookshop.org%2Fbooks%3Faffiliate%3D3546%26keywords%3DBRIEF%2BANSWERS%2BTO%2BTHE%2BBIG%2BQUESTIONS'}, {'name': 'IndieBound', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.indiebound.org%2Fbook%2F9781984819192%3Faff%3DNYT&url2=https%3A%2F%2Fwww.indiebound.org%2Fsearch%2Fbook%3Fkeys%3DBRIEF%2BANSWERS%2BTO%2BTHE%2BBIG%2BQUESTIONS%2BStephen%2BHawking%26aff%3DNYT'}]",nyt://book/551a5565-2dbb-53d1-96f4-a8090e385365,2019-01-06
10,11,8,0,0,0812995546,9780812995541,Spiegel & Grau,The story of the New York band who achieved hip hop stardom.,0.00,BEASTIE BOYS BOOK,Michael Diamond and Adam Horovitz,by Michael Diamond and Adam Horovitz,,https://storage.googleapis.com/du-prd/books/images/9780812995541.jpg,330,474,https://www.amazon.com/Beastie-Boys-Book-Michael-Diamond/dp/0812995546?tag=NYTBSREV-20,,https://www.nytimes.com/2018/11/30/books/review/beastie-boys-book-michael-diamond-adam-horovitz.html,,,,"[{'isbn10': '0812995546', 'isbn13': '9780812995541'}, {'isbn10': '0812995554', 'isbn13': '9780812995558'}]","[{'name': 'Amazon', 'url': 'https://www.amazon.com/Beastie-Boys-Book-Michael-Diamond/dp/0812995546?tag=NYTBSREV-20'}, {'name': 'Apple Books', 'url': 'https://goto.applebooks.apple/9780812995541?at=10lIEQ'}, {'name': 'Barnes and Noble', 'url': 'https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9780812995541'}, {'name': 'Books-A-Million', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fp%252FBEASTIE%252BBOYS%252BBOOK%252FMichael%252BDiamond%252Band%252BAdam%252BHorovitz%252F9780812995541&url2=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fsearch%253Fquery%253DBEASTIE%252BBOYS%252BBOOK%252BMichael%252BDiamond%252Band%252BAdam%252BHorovitz'}, {'name': 'Bookshop', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fbookshop.org%2Fa%2F3546%2F9780812995541&url2=https%3A%2F%2Fbookshop.org%2Fbooks%3Faffiliate%3D3546%26keywords%3DBEASTIE%2BBOYS%2BBOOK'}, {'name': 'IndieBound', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.indiebound.org%2Fbook%2F9780812995541%3Faff%3DNYT&url2=https%3A%2F%2Fwww.indiebound.org%2Fsearch%2Fbook%3Fkeys%3DBEASTIE%2BBOYS%2BBOOK%2BMichael%2BDiamond%2Band%2BAdam%2BHorovitz%26aff%3DNYT'}]",nyt://book/6bee782b-1729-50f1-941c-c6594970fc09,2019-01-06
